quarter,s,ln_s
2009Q3,0.7712482444036606,0.04859136243245584
2009Q4,0.6827892786568378,0.03884134312386736
2010Q1,0.38137388458356436,0.020561445733509386
2010Q2,0.9608325578720662,0.07321293284603665
2010Q3,0.4363323162591638,0.03809873789055038
2010Q4,0.2597683872670778,0.020032936054629125
2011Q1,0.09304903368465517,0.006133282039476787
2011Q2,0.31296780301335364,0.03981218627861674
2011Q3,0.049463021412505456,0.0033807077752602654
2011Q4,0.03320450794054622,0.0032988668414664643
2012Q1,0.06445784329290326,0.0058975798223692266
2012Q2,0.4172601678159736,0.03741481345489945
2012Q3,0.2929490573352459,0.03139211627775888
2012Q4,0.10847283025174449,0.010014209903271482
2013Q1,0.6776184151657596,0.05779112264553204
2013Q2,0.8985448391038012,0.09731572959220101
2013Q3,0.2598852982669906,0.03236682472614209
2013Q4,0.26050836325126686,0.014022597890772629
2014Q1,1.0385664573401463,0.08098321763665794
2014Q2,0.46317215806351114,0.05226048930601569
2014Q3,0.6760240857073936,0.06393468081260868
2014Q4,1.0643409971938909,0.0894530861128775
2015Q1,0.49139614036256524,0.033868968911462
2015Q2,1.0435845088016542,0.08302974889461208
2015Q3,0.44493400287348644,0.046809409081160894
2015Q4,0.5551905621522657,0.0447716836241775
2016Q1,0.7172882968032117,0.05475789526953718
2016Q2,1.0522954940768152,0.06614045571511479
2016Q3,1.076920623276841,0.08376745253399692
2016Q4,0.572811643814423,0.04270881261846683
2017Q1,0.19607686069567665,0.01184875078116894
2017Q2,0.5187723933176156,0.04786071418850393
2017Q3,0.09872159916479735,0.004467004611376213
2017Q4,0.06523324777387114,0.01217928351746568
2018Q1,0.0,0.0
2018Q2,0.184488678731622,0.01795733929366218
2018Q3,0.06249978607018568,0.013624953178756833
2018Q4,0.039422504039472055,0.001998929199959283
2019Q1,0.24132307555518204,0.022038189881590235
2019Q2,0.25996992860260265,0.029340903288496152
2019Q3,0.5473727612034873,0.0812885053500923
2019Q4,0.0908832976470852,0.009168616618507373
2020Q1,0.16949152477408128,0.037145351452081525
2020Q2,0.7025003011687944,0.06523343634341539
2020Q3,0.4053590848344294,0.06088868225543112
2020Q4,0.2421896477673005,0.03109987239515371
2021Q1,0.8587762847964089,0.11760327988015441
2021Q2,0.3448029479344568,0.03669398952850023
2021Q3,0.1349306695331017,0.016260932096538595
2021Q4,0.4088115508475448,0.07625520104445814
2022Q1,0.17543641117612907,0.02364135044189665
2022Q2,0.1333328487391301,0.02254151226988639
2022Q3,0.47776837107010667,0.05764729380377613
