quarter,amihud,ln_amihud
2009Q3,0.20749662228958693,-1.5726402175663468
2009Q4,0.5415065133317117,-0.613400184300021
2010Q1,2.5878706888517713,0.9508354097225431
2010Q2,0.5866822358831999,-0.5332719415329148
2010Q3,1.1761093377886207,0.1622118194646435
2010Q4,4.770704326143393,1.5624939514723677
2011Q1,10.726696931577923,2.3727356743568384
2011Q2,9.92978180115803,2.2955385041155583
2011Q3,2.96875127031609,1.088141416696669
2011Q4,4.7288692466504205,1.553686114019694
2012Q1,16.339711710531194,2.7935984461018686
2012Q2,2.2077273595374916,0.7919636423204159
2012Q3,5.937410114286688,1.7812730305997166
2012Q4,10.728913970733275,2.372942337236151
2013Q1,10.44284914000205,2.345917451352853
2013Q2,7.050479101077037,1.9530955721147438
2013Q3,11.718416366239875,2.46116165268454
2013Q4,2.8309376984996573,1.040607998999461
2014Q1,2.603470048903449,0.9568451893885012
2014Q2,12.613810376629187,2.534792275357671
2014Q3,4.077774682228679,1.405551418597535
2014Q4,2.011097147568575,0.6986804177135104
2015Q1,5.968614976997952,1.7865149033362364
2015Q2,2.622691657394906,0.964201140560727
2015Q3,2.2439811232065145,0.8082515755067587
2015Q4,4.2040456160232855,1.4360473035798347
2016Q1,2.6758434600391587,0.9842646428117081
2016Q2,1.2634311442048507,0.23383115028267468
2016Q3,3.3359761635711815,1.2047653392584976
2016Q4,5.253791678101903,1.6589500403253574
2017Q1,6.5491555395795364,1.8793361160805528
2017Q2,4.121036797104763,1.416104781485649
2017Q3,7.296662716745251,1.9874170815342063
2017Q4,5.372618937144833,1.681315487427191
2018Q1,13.864300116898306,2.6293171993874833
2018Q2,7.8878459502006395,2.06532308746975
2018Q3,7.844302916112565,2.0597875251448823
2018Q4,7.87452641148604,2.0636330446793263
2019Q1,0.34786513398846086,-1.0559404203331955
2019Q2,4.716852801765161,1.551141797914248
2019Q3,5.338363455352271,1.6749191369657164
2019Q4,10.45725427566411,2.3472959266318134
2020Q1,9.941189693552412,2.2966867009866294
2020Q2,2.4834952908544548,0.9096669593905108
2020Q3,4.441378697935413,1.4909648457965567
2020Q4,5.045762430252587,1.6185487683044633
2021Q1,3.8971090875533876,1.3602350186651655
2021Q2,3.9187538649916434,1.3657737116803665
2021Q3,6.516664343515961,1.8743626412694872
2021Q4,5.987410952903622,1.7896590904600322
2022Q1,7.299625270771084,1.9878230140656892
2022Q2,7.430094959588993,2.0055386392117915
2022Q3,3.839054810222119,1.3452261931301102
