,quarter,roa
0,2006Q4,3.69
1,2007Q1,0.75
2,2007Q2,1.23
3,2007Q3,1.97
4,2007Q4,1.45
5,2008Q1,1.41
6,2008Q2,1.39
7,2008Q3,1.43
8,2008Q4,-1.35
9,2009Q1,0.84
10,2009Q2,3.23
11,2009Q3,3.19
12,2009Q4,2.69
13,2010Q1,1.46
14,2010Q2,1.26
15,2010Q3,2.05
16,2010Q4,1.89
17,2011Q1,0.8
18,2011Q2,1.22
19,2011Q3,4.86
20,2011Q4,2.48
21,2012Q1,1.26
22,2012Q2,3.67
23,2012Q3,5.88
24,2012Q4,3.57
25,2013Q1,1.81
26,2013Q2,4.58
27,2013Q3,7.29
28,2013Q4,1.68
29,2014Q1,1.81
30,2014Q2,3.9
31,2014Q3,6.01
32,2014Q4,2.82
33,2015Q1,2.37
34,2015Q2,3.47
35,2015Q3,5.6
36,2015Q4,1.66
37,2016Q1,1.08
38,2016Q2,3.19
39,2016Q3,2.72
40,2016Q4,3.08
41,2017Q1,1.75
42,2017Q2,4.39
43,2017Q3,5.6
44,2017Q4,1.2
45,2018Q1,2.28
46,2018Q2,4.15
47,2018Q3,5.65
48,2018Q4,0.55
49,2019Q1,1.39
50,2019Q2,1.89
51,2019Q3,5.14
52,2019Q4,2.65
53,2020Q1,1.03
54,2020Q2,1.44
55,2020Q3,3.39
56,2020Q4,2.22
57,2021Q1,1.11
58,2021Q2,1.93
59,2021Q3,5.7
60,2021Q4,3.39
61,2022Q1,2.2
62,2022Q2,3.18
