,quarter,roa
0,2010Q1,1.57
1,2010Q3,0.0
2,2011Q1,1.81
3,2011Q2,2.33
4,2011Q3,1.34
5,2011Q4,-1.15
6,2012Q1,0.39
7,2012Q2,1.07
8,2012Q3,0.67
9,2012Q4,0.33
10,2013Q1,0.58
11,2013Q2,1.14
12,2013Q3,0.24
13,2013Q4,0.67
14,2014Q1,0.53
15,2014Q2,2.95
16,2014Q3,1.55
17,2014Q4,0.56
18,2015Q1,0.97
19,2015Q2,1.53
20,2015Q3,0.7
21,2015Q4,0.47
22,2016Q1,0.41
23,2016Q2,1.43
24,2016Q3,0.37
25,2016Q4,0.29
26,2017Q1,0.47
27,2017Q2,0.95
28,2017Q3,2.69
29,2017Q4,2.3
30,2018Q1,2.85
31,2018Q2,2.48
32,2018Q3,2.31
33,2018Q4,2.68
34,2019Q1,2.34
35,2019Q2,0.96
36,2019Q3,0.82
37,2019Q4,0.44
38,2020Q1,0.18
39,2020Q2,0.31
40,2020Q3,0.38
41,2020Q4,0.41
42,2021Q1,0.25
43,2021Q2,0.32
44,2021Q3,0.13
45,2021Q4,1.13
46,2022Q1,2.57
47,2022Q2,2.79
