quarter,trend
2005Q1,31.932773109243698
2005Q2,84.03361344537815
2005Q3,0.0
2005Q4,0.0
2006Q1,100.0
2006Q2,0.0
2006Q3,37.81512605042017
2006Q4,15.966386554621849
2007Q1,11.764705882352942
2007Q2,0.0
2007Q3,11.764705882352942
2007Q4,16.80672268907563
2008Q1,0.0
2008Q2,0.0
2008Q3,10.92436974789916
2008Q4,4.201680672268908
2009Q1,0.0
2009Q2,0.0
2009Q3,0.0
2009Q4,12.605042016806722
2010Q1,0.0
2010Q2,5.042016806722689
2010Q3,3.361344537815126
2010Q4,12.605042016806722
2011Q1,7.563025210084033
2011Q2,8.403361344537815
2011Q3,5.042016806722689
2011Q4,11.764705882352942
2012Q1,5.882352941176471
2012Q2,10.084033613445378
2012Q3,5.882352941176471
2012Q4,9.243697478991596
2013Q1,4.201680672268908
2013Q2,5.882352941176471
2013Q3,5.042016806722689
2013Q4,7.563025210084033
2014Q1,5.042016806722689
2014Q2,5.882352941176471
2014Q3,4.201680672268908
2014Q4,7.563025210084033
2015Q1,5.882352941176471
2015Q2,7.563025210084033
2015Q3,5.882352941176471
2015Q4,6.722689075630252
2016Q1,5.042016806722689
2016Q2,6.722689075630252
2016Q3,5.882352941176471
2016Q4,9.243697478991596
2017Q1,5.042016806722689
2017Q2,9.243697478991596
2017Q3,6.722689075630252
2017Q4,7.563025210084033
2018Q1,5.882352941176471
2018Q2,5.042016806722689
2018Q3,5.882352941176471
2018Q4,7.563025210084033
2019Q1,7.563025210084033
2019Q2,8.403361344537815
2019Q3,9.243697478991596
2019Q4,11.764705882352942
2020Q1,7.563025210084033
2020Q2,16.80672268907563
2020Q3,13.445378151260504
2020Q4,17.647058823529413
2021Q1,19.327731092436974
2021Q2,19.327731092436974
2021Q3,21.008403361344538
2021Q4,28.571428571428573
2022Q1,35.294117647058826
2022Q2,35.294117647058826
2022Q3,24.369747899159663
