quarter,s,ln_s
2017Q3,0.08182060082688976,0.0035097371578855247
2017Q4,0.12225843574913266,0.005898302499419646
2018Q1,0.14892372784970542,0.007030379538659047
2018Q2,0.06382639634324705,0.003087355015026509
2018Q3,0.13859116657132303,0.0069769860075273625
2018Q4,0.23857145442146221,0.010964013018743652
2019Q1,0.18334039917115,0.00690563044419797
2019Q2,0.16599996274584444,0.005317327198235776
2019Q3,0.1308496839683632,0.005942410573654341
2019Q4,0.052033681188843856,0.002510464109358388
2020Q1,0.07015499759287526,0.0030228552595395097
2020Q2,0.10402725980020175,0.0054069722970190226
2020Q3,0.06023567113008459,0.0030628009455975795
2020Q4,0.12783946253892128,0.005805830979656719
2021Q1,0.04927791477701361,0.002154446214520663
2021Q2,0.04924548687431619,0.0019244293573463763
2021Q3,0.07167223862752668,0.0025857072912251785
2021Q4,0.15920420851842312,0.005294500988639553
2022Q1,0.28135480495556936,0.010103605047377149
2022Q2,0.1492575615716367,0.00507483360205541
2022Q3,0.05472149256872048,0.001883183727792873
