quarter,amihud,ln_amihud
2006Q4,29.07314804080513,3.36981500044502
2007Q1,0.2838655107095523,-1.2592547068225663
2007Q2,0.17802857552613557,-1.7258112049110002
2007Q3,0.09116257047017053,-2.395110877654994
2007Q4,0.3298969385277444,-1.1089749807914355
2008Q1,1.1100084756765063,0.10436765103969088
2008Q2,7.19598437307337,1.9735231444730006
2008Q3,0.5426618580736116,-0.6112688821707337
2008Q4,0.2487122850864123,-1.391458532181633
2009Q1,0.6540419977040515,-0.42458371291387903
2009Q2,0.04472101115999846,-3.1073118394786072
2009Q3,0.043326723584927083,-3.1389856614844818
2009Q4,0.059120502011922385,-2.8281775109722482
2010Q1,0.18484160511220799,-1.688256009225263
2010Q2,0.07366031510374334,-2.608291090160855
2010Q3,0.07185637150528565,-2.6330859925142143
2010Q4,0.3543270879999582,-1.0375348150517079
2011Q1,0.3040412648267293,-1.1905918472260866
2011Q2,10.026415879382041,2.3052231980710065
2011Q3,13.933061031489355,2.6342645074770865
2011Q4,10.106390896026612,2.313167985720593
2012Q1,1.4402748349763814,0.3648339529993974
2012Q2,28.64569539221433,3.3550031837821233
2012Q3,43.62644967585493,3.7756636103625643
2012Q4,92.55762192818167,4.527831390336071
2013Q1,77.99270551475858,4.3566153032748565
2013Q2,18.54448235616671,2.9201722977003635
2013Q3,36.183662132742874,3.5886076946552414
2013Q4,10.193222217138251,2.3217230109040243
2014Q1,9.214368034730146,2.220764008708227
2014Q2,97.06509652780775,4.575381851642489
2014Q3,11.663339467695394,2.4564505436640833
2014Q4,48.49317406623024,3.881423047136038
2015Q1,19.664512251096873,2.9788156026825514
2015Q2,6.592938931289274,1.8859992174292732
2015Q3,3.638918659410469,1.291686565923613
2015Q4,7.2414945277006755,1.979827611572605
2016Q1,6.411859250823911,1.858149283605557
2016Q2,10.752408343423411,2.3751297614286266
2016Q3,0.37957534709744906,-0.9687021587772385
2016Q4,1.787721186332509,0.5809417285363879
2017Q1,2.7179696697008087,0.9998851566162142
2017Q2,0.969207242051307,-0.03127681787277282
2017Q3,3.9875927241315376,1.3831877215412989
2017Q4,8.040205643291452,2.084454660387588
2018Q1,24.686402788016004,3.2062525976439438
2018Q2,6.624884138690877,1.89083288321987
2018Q3,11.927876501422285,2.4788782237386737
2018Q4,6.386861552773965,1.854242997935241
2019Q1,15.36865311651866,2.7323299230352838
2019Q2,13.999432316471088,2.6390167799696393
2019Q3,12.332429644302838,2.512232349208031
2019Q4,13.703478111638534,2.6176496773747644
2020Q1,17.13283320469489,2.8409966929795045
2020Q2,38.230555555619446,3.643635079531048
2020Q3,4.83354212508557,1.5755795581189658
2020Q4,9.557685423819484,2.2573455872707027
2021Q1,3.9464602352169957,1.3728190341538178
2021Q2,2.035986533133921,0.7109804842920991
2021Q3,7.283362079818909,1.9855925797515919
2021Q4,4.927571604052263,1.5948462914566124
2022Q1,4.784261790028995,1.5653317371471642
2022Q2,0.590119784129556,-0.5274297387405447
2022Q3,5.2821770381658855,1.664338330572978
