,quarter,roa
0,2006Q4,6.61
1,2007Q1,0.6
2,2007Q2,0.69
3,2007Q3,1.08
4,2007Q4,2.37
5,2008Q1,4.61
6,2008Q2,4.99
7,2008Q3,5.75
8,2008Q4,6.42
9,2009Q1,4.78
10,2009Q2,7.0
11,2009Q3,6.2
12,2009Q4,6.68
13,2010Q1,4.1
14,2010Q2,3.54
15,2010Q3,3.82
16,2010Q4,4.5
17,2011Q1,0.98
18,2011Q2,1.72
19,2011Q3,0.02
20,2011Q4,-1.47
21,2012Q1,-8.96
22,2012Q2,-9.17
23,2012Q3,-3.46
24,2012Q4,-5.23
25,2013Q1,-5.23
26,2013Q2,-3.07
27,2013Q3,-1.71
28,2013Q4,-1.71
29,2014Q1,-1.32
30,2014Q2,-0.27
31,2014Q3,0.78
32,2014Q4,0.86
33,2015Q1,0.17
34,2015Q2,0.76
35,2015Q3,0.84
36,2015Q4,0.8
37,2016Q1,0.43
38,2016Q2,0.98
39,2016Q3,2.37
40,2016Q4,1.98
41,2017Q1,2.59
42,2017Q2,2.8
43,2017Q3,3.11
44,2017Q4,0.31
45,2018Q1,1.7
46,2018Q2,1.1
47,2018Q3,0.91
48,2018Q4,1.98
49,2019Q1,0.16
50,2019Q2,0.76
51,2019Q3,1.21
52,2019Q4,1.5
53,2020Q1,1.07
54,2020Q2,1.42
55,2020Q3,0.85
56,2020Q4,1.35
57,2021Q1,0.11
58,2021Q2,0.31
59,2021Q3,0.1
60,2021Q4,0.54
61,2022Q1,0.02
62,2022Q2,0.2
