quarter,s,ln_s
2018Q1,0.04861601456624354,0.002288461609795549
2018Q2,0.06544843374136887,0.0026072753126343733
2018Q3,0.04683794052501382,0.002336938418882841
2018Q4,0.039415915591914395,0.0019087630609392853
2019Q1,0.03494493327742749,0.0017399583670665312
2019Q2,0.029332914218684163,0.0014446459586238277
2019Q3,0.010073259961618971,0.0005224095189819991
2019Q4,0.00437103365107302,0.0002369312305518967
2020Q1,0.01546207362794518,0.0009481607477714026
2020Q2,0.02580665550422798,0.002128732186305324
2020Q3,0.012746942360378613,0.0010043724386255071
2020Q4,0.010494145888210397,0.0008261855250415051
2021Q1,0.012771341387621607,0.0005670706722050468
2021Q2,0.10235202346329844,0.004651628774653383
2021Q3,0.049469164666311786,0.003202514388185624
2021Q4,0.04155353269791984,0.0025130726666313173
2022Q1,0.08138813938795483,0.00469331351320762
2022Q2,0.05526005084010039,0.0037611076847167382
2022Q3,0.025881438129272856,0.002126504941433568
