,date,quarter,price,shares_est,lev,market_cap
0,2007-03-30,2007Q1,43.0,90002534.39536567,0.5308251800520322,3870108979001
1,2007-06-29,2007Q2,45.5,89996319.34098677,0.5133821931921317,4094832530015
2,2007-09-28,2007Q3,42.3,93814552.06912231,0.5290193286268251,3968355552524
3,2007-12-28,2007Q4,33.0,90054260.83897634,0.5590676763138226,2971790607686
4,2008-03-31,2008Q1,21.8,90054212.13443911,0.5686974625040201,1963181824531
5,2008-06-30,2008Q2,15.5,91817036.2903226,0.7147154160495539,1423164062500
6,2008-09-30,2008Q3,14.6,93814552.06912231,0.5290193286268251,1369692460209
7,2008-12-31,2008Q4,11.0,91759815.24249424,0.7343049486247085,1009357967667
8,2009-03-31,2009Q1,9.2,90941560.50955412,0.7341007654766963,836662356688
9,2009-06-30,2009Q2,14.3,90937998.2970818,0.7391565951778964,1300413375648
10,2009-09-30,2009Q3,15.0,90939369.63669902,0.7498640039676239,1364090544550
11,2009-12-31,2009Q4,11.9,90928494.23631124,0.782508015199579,1082049081412
12,2010-03-31,2010Q1,11.8,110657822.0995459,0.7495029050192614,1305762300775
13,2010-06-30,2010Q2,12.1,109104517.1206558,0.7532771217724018,1320164657160
14,2010-09-30,2010Q3,8.9,109105813.84769356,0.7684864204265368,971041743244
15,2010-12-31,2010Q4,10.5,109092888.36583726,0.7649156161738376,1145475327841
16,2011-03-31,2011Q1,10.0,109092888.36583726,0.7649156161738376,1090928883658
17,2011-06-30,2011Q2,6.6,109079756.76390237,0.778308803569208,719926394642
18,2011-09-30,2011Q3,5.0,109074565.25557704,0.7746194924169603,545372826278
19,2011-12-30,2011Q4,3.5,109061470.79881354,0.8058658234889536,381715147796
20,2012-03-30,2012Q1,4.4,109059242.67100978,0.8034713400727214,479860667752
21,2012-06-29,2012Q2,6.4,109059774.32143946,0.803421224484532,697982555657
22,2012-09-28,2012Q3,4.8,109061260.66245708,0.814949494720368,523494051180
23,2012-12-28,2012Q4,3.6,109058843.04833536,0.8064438049013554,392611834974
24,2013-03-29,2013Q1,3.7,109056847.24482678,0.81386551654486,403510334806
25,2013-06-28,2013Q2,4.3,109057313.15910132,0.8108050760741691,468946446584
26,2013-09-30,2013Q3,4.1,109060977.03159612,0.8154852240997039,447150005830
27,2013-12-31,2013Q4,4.2,109057664.756447,0.8179110622740927,458042191977
28,2014-03-31,2014Q1,6.0,109059523.8095238,0.8137071741926974,654357142857
29,2014-06-30,2014Q2,5.1,109054222.5358739,0.8062801177710092,556176534933
30,2014-09-30,2014Q3,6.8,109054072.55304584,0.7936560046723249,741567693361
31,2014-12-31,2014Q4,7.6,109057914.67304625,0.7550591972145989,828840151515
32,2015-03-31,2015Q1,10.1,109055387.89277472,0.721387093530931,1101459417717
33,2015-06-30,2015Q2,9.5,109056796.2018639,0.7193150658815565,1036039563918
34,2015-09-30,2015Q3,8.9,109059921.06207392,0.7244950816306726,970633297452
35,2015-12-31,2015Q4,9.0,109052338.9232127,0.6965163202891195,981471050309
36,2016-03-31,2016Q1,8.9,109054350.66631828,0.694414390058048,970583720930
37,2016-06-30,2016Q2,8.8,109055615.77586924,0.6847291184997112,959689418828
38,2016-09-30,2016Q3,9.8,109057738.24231942,0.680204831820496,1068765834775
39,2016-12-30,2016Q4,9.8,109055458.02744973,0.6647256968086784,1068743488669
40,2017-03-31,2017Q1,8.4,109055371.50970183,0.6721165918645696,916065120681
41,2017-06-30,2017Q2,7.2,109057404.53021508,0.6757435225496053,785213312618
42,2017-09-29,2017Q3,5.5,119959938.64477128,0.6739297259757698,659779662546
43,2017-12-29,2017Q4,4.5,119964880.6843764,0.6511259756127507,539841963080
44,2018-03-30,2018Q1,5.0,119964673.66499317,0.6573151997126203,599823368325
45,2018-06-29,2018Q2,5.1,119959381.38832104,0.6420329118499364,611792845080
46,2018-09-28,2018Q3,5.3,119964717.38357626,0.6489570469409531,635813002133
47,2018-12-28,2018Q4,5.3,119956687.67196237,0.6172816116716598,635770444661
48,2019-03-29,2019Q1,4.4,119959231.7765168,0.626999728385722,527820619817
49,2019-06-28,2019Q2,4.4,119963847.08527936,0.6229371957655054,527840927175
50,2019-09-30,2019Q3,4.3,119966331.70145153,0.6104111415230654,515855226316
51,2019-12-31,2019Q4,4.3,119960415.42521496,0.5983552565181197,515829786328
52,2020-03-31,2020Q1,3.8,119963378.61783816,0.601162438877363,455860838748
53,2020-06-30,2020Q2,3.7,119966615.69826709,0.602005350400333,443876478084
54,2020-09-30,2020Q3,4.5,119957645.6719434,0.5934945637484871,539809405524
55,2020-12-31,2020Q4,4.7,123561599.00946316,0.5717007095433562,580739515344
56,2021-03-31,2021Q1,5.8,123555243.77411434,0.5828200585869299,716620413890
57,2021-06-30,2021Q2,7.2,123554946.96574508,0.5699105759800335,889595618153
58,2021-09-30,2021Q3,12.1,123563335.9559402,0.5703123217008291,1495116365067
59,2021-12-31,2021Q4,11.5,123563659.79381444,0.5296384544372365,1420982087629
60,2022-03-31,2022Q1,15.5,123557413.22243913,0.5470736336483427,1915139904948
61,2022-06-30,2022Q2,7.7,123561534.54422,0.5509310654681236,951423815990
