quarter,trend
2005Q1,0.0
2005Q2,8.243727598566307
2005Q3,0.0
2005Q4,0.0
2006Q1,7.526881720430108
2006Q2,9.31899641577061
2006Q3,6.451612903225806
2006Q4,3.942652329749104
2007Q1,8.243727598566307
2007Q2,6.810035842293907
2007Q3,11.469534050179211
2007Q4,13.620071684587813
2008Q1,17.204301075268816
2008Q2,16.487455197132615
2008Q3,17.921146953405017
2008Q4,19.71326164874552
2009Q1,22.939068100358423
2009Q2,24.014336917562723
2009Q3,29.032258064516128
2009Q4,34.05017921146953
2010Q1,36.200716845878134
2010Q2,41.577060931899645
2010Q3,44.80286738351254
2010Q4,44.44444444444444
2011Q1,57.34767025089606
2011Q2,60.57347670250896
2011Q3,64.51612903225806
2011Q4,62.365591397849464
2012Q1,69.53405017921148
2012Q2,79.56989247311827
2012Q3,78.85304659498208
2012Q4,77.06093189964157
2013Q1,85.30465949820788
2013Q2,90.68100358422939
2013Q3,87.45519713261649
2013Q4,74.19354838709677
2014Q1,100.0
2014Q2,90.68100358422939
2014Q3,82.07885304659499
2014Q4,68.10035842293907
2015Q1,68.10035842293907
2015Q2,59.13978494623656
2015Q3,53.04659498207885
2015Q4,49.46236559139785
2016Q1,43.01075268817204
2016Q2,38.35125448028674
2016Q3,35.12544802867384
2016Q4,29.032258064516128
2017Q1,27.240143369175627
2017Q2,23.655913978494624
2017Q3,22.939068100358423
2017Q4,19.35483870967742
2018Q1,21.863799283154123
2018Q2,15.053763440860216
2018Q3,12.903225806451612
2018Q4,10.03584229390681
2019Q1,8.602150537634408
2019Q2,6.810035842293907
2019Q3,6.093189964157706
2019Q4,4.301075268817204
2020Q1,3.942652329749104
2020Q2,4.301075268817204
2020Q3,3.5842293906810037
2020Q4,2.867383512544803
2021Q1,2.867383512544803
2021Q2,2.150537634408602
2021Q3,2.150537634408602
2021Q4,2.150537634408602
2022Q1,1.7921146953405018
2022Q2,1.4336917562724014
2022Q3,1.4336917562724014
