,quarter,roa
0,2013Q1,0.0
1,2013Q2,1.88
2,2013Q3,2.15
3,2014Q2,2.66
4,2014Q3,4.0
5,2014Q4,8.05
6,2015Q1,-0.46
7,2015Q2,0.0
8,2015Q3,2.11
9,2015Q4,0.55
10,2016Q1,-0.36
11,2016Q2,2.27
12,2016Q3,2.19
13,2016Q4,0.86
14,2017Q1,-0.34
15,2017Q2,2.09
16,2017Q3,2.25
17,2017Q4,1.05
18,2018Q1,1.12
19,2018Q2,2.64
20,2018Q3,2.33
21,2018Q4,-0.11
22,2019Q1,0.08
23,2019Q2,3.02
24,2019Q3,1.84
25,2019Q4,-0.95
26,2020Q1,-1.24
27,2020Q2,1.79
28,2020Q3,2.57
29,2020Q4,0.27
30,2021Q1,-0.24
31,2021Q2,2.37
32,2021Q3,1.03
33,2021Q4,1.71
34,2022Q1,-0.05
35,2022Q2,1.82
