,quarter,roa
0,2015Q1,0.6
1,2015Q2,2.48
2,2015Q3,1.77
3,2015Q4,-0.5
4,2016Q1,0.32
5,2016Q2,-2.0
6,2016Q3,-0.42
7,2016Q4,-0.94
8,2017Q1,0.02
9,2017Q2,3.04
10,2017Q3,0.34
11,2017Q4,-0.15
12,2018Q1,0.07
13,2018Q2,0.15
14,2018Q3,-0.75
15,2018Q4,-1.15
16,2019Q1,-0.32
17,2019Q2,-2.05
18,2019Q3,-3.52
19,2019Q4,-2.43
20,2020Q1,0.01
21,2020Q2,0.04
22,2020Q3,-1.41
23,2020Q4,1.47
24,2021Q1,0.03
25,2021Q2,-0.56
26,2021Q3,-0.91
27,2021Q4,-5.29
28,2022Q1,-0.81
29,2022Q2,-4.46
