,timestamp,delta_volume,date,note
0,1305565200,38000000,2011-05-17,"Niêm yết cổ phiếu lần đầu - 38,000,000 CP"
1,1309366800,38000000,2011-06-30,"Giao dịch lần đầu - 38,000,000 CP"
2,1409245200,38000000,2014-08-29,"Niêm yết cổ phiếu bổ sung - 38,000,000 CP"
3,1409245200,7600000,2014-08-29,"Niêm yết cổ phiếu bổ sung - 7,600,000 CP"
4,1410282000,7600000,2014-09-10,"Giao dịch bổ sung - 7,600,000 CP"
5,1425488400,39900000,2015-03-05,"Niêm yết cổ phiếu bổ sung - 39,900,000 CP"
6,1426438800,39900000,2015-03-16,"Giao dịch bổ sung - 39,900,000 CP"
7,1441645200,12825000,2015-09-08,"Niêm yết cổ phiếu bổ sung - 12,825,000 CP"
8,1442163600,12825000,2015-09-14,"Giao dịch bổ sung - 12,825,000 CP"
9,1463504400,83284671,2016-05-18,"Niêm yết cổ phiếu bổ sung - 83,284,671 CP"
10,1544115600,16343749,2018-12-07,"Niêm yết cổ phiếu bổ sung - 16,343,749 CP"
11,1544979600,16343749,2018-12-17,"Giao dịch bổ sung - 16,343,749 CP"
12,1574269200,29691188,2019-11-21,"Niêm yết cổ phiếu bổ sung - 29,691,188 CP"
13,1575824400,29691188,2019-12-09,"Giao dịch bổ sung - 29,691,188 CP"
