,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2009Q2,925669.0,13224.0,69999168.17906836,,,0.8954052708723127
1,2009Q3,1423626.0,11864.0,119995448.41537423,49996280.23630588,41.6651472172841,0.8423358120845179
2,2009Q4,1376190.0,11468.0,120002615.97488664,7167.559512406588,0.005972836053762834,0.8693401648546282
3,2010Q1,1432062.0,11934.0,119998491.70437406,-4124.270512580872,-0.0034369352931046364,0.8747698930059329
4,2010Q2,2245700.0,10593.0,211998489.568583,91999997.86420895,43.396534593915725,0.813730091957653
5,2010Q3,2293293.0,10817.0,212008227.78959045,9738.221007436514,0.004593322206863265,0.806926442211221
6,2010Q4,2358507.0,11125.0,212000629.21348315,-7598.576107293367,-0.0035842233749418047,0.8336256367965228
7,2011Q1,2338693.0,11032.0,211991751.26903552,-8877.944447636604,-0.004187872591499911,0.8156547052654569
8,2011Q2,2377189.0,11213.0,212002943.0125747,11191.743539184332,0.005279051026438113,0.7051329821790028
9,2011Q3,2415180.0,11392.0,212006671.3483146,3728.3357399106026,0.0017585935933993153,0.639749684019041
10,2011Q4,2282006.0,10764.0,212003530.28613898,-3141.062175631523,-0.0014816084295351422,0.6237429758053943
11,2012Q1,2320008.0,10943.0,212008407.20095038,4876.914811402559,0.0023003402911187464,0.6867501519072537
12,2012Q2,2329886.0,10990.0,212000545.95086443,-7861.250085949898,-0.003708127283677801,0.7425521839944097
13,2012Q3,2255172.0,10638.0,211992103.7789058,-8442.171958625317,-0.0039823049104838176,0.6488368275194951
14,2012Q4,2257397.0,10648.0,212001972.20135236,9868.422446548939,0.004654872944849891,0.6187993999433957
15,2013Q1,2272797.0,10721.0,211994869.8815409,-7102.319811463356,-0.003350231925627262,0.5809443665089469
16,2013Q2,2224893.0,10495.0,211995521.67698905,651.795448154211,0.0003074571778678096,0.46973128252795393
17,2013Q3,2234791.0,10541.0,212009391.89830187,13870.221312820911,0.006542267391377772,0.399737847476249
18,2013Q4,2225718.0,10499.0,211993332.69835222,-16059.199949651957,-0.007575332556568078,0.41769901260066983
19,2014Q1,2283780.0,10773.0,211991088.8331941,-2243.865158110857,-0.001058471452956426,0.4226357194824771
20,2014Q2,2249198.0,10609.0,212008483.36318222,17394.529988110065,0.008204638659818285,0.3260589664991624
21,2014Q3,2244505.0,10587.0,212005761.78331918,-2721.5798630416393,-0.0012837291968617506,0.40572619715503105
22,2014Q4,2264366.0,10681.0,211999438.25484505,-6323.528474122286,-0.0029828043537175586,0.1725359973906442
23,2015Q1,2267858.0,10697.0,212008787.51051697,9349.255671918392,0.004409843470028152,0.20082755463967414
24,2015Q2,2247850.0,10603.0,212001320.38102424,-7467.129492729902,-0.0035222089557317058,0.21984813781155293
25,2015Q3,2202729.0,10390.0,212004716.07314727,3395.6921230256557,0.0016017059365104178,0.15913600609591227
26,2015Q4,2065059.0,9741.0,211996612.25746843,-8103.815678834915,-0.0038226156505712866,0.08348645103983082
27,2016Q1,1942221.0,9161.0,212009715.09660518,13102.839136749506,0.006180301280429066,0.003506314596814192
28,2016Q2,1889969.0,8915.0,211998766.12450925,-10948.972095936537,-0.005164639538282069,0.006658127637243401
29,2016Q3,1625608.0,7668.0,211998956.70318204,190.5786727964878,8.98960427731328e-05,0.009182207539721684
30,2016Q4,1638666.0,7759.0,211195514.8859389,-803441.817243129,-0.38042560594956126,0.013279782255118394
31,2017Q1,1715662.0,8124.0,211184391.92516002,-11122.96077889204,-0.005266942636004,0.021646068322832546
32,2017Q2,1762761.0,8347.0,211184976.63831317,584.7131531536579,0.00027687251359506947,0.036391406028103465
33,2017Q3,1762333.0,8345.0,211184301.9772319,-674.6610812842846,-0.00031946554500865356,0.01743746824562239
34,2017Q4,1764543.0,8355.0,211196050.26929983,11748.292067945004,0.005562742320684761,0.007209022836612912
35,2018Q1,1770447.0,8383.0,211194918.28700942,-1131.982290416956,-0.0005359893597811932,0.006116171896082803
36,2018Q2,1781608.0,8436.0,211191085.82266477,-3832.464344650507,-0.001814690392694222,0.007644268576706554
37,2018Q3,1844367.0,8733.0,211195121.9512195,4036.1285547316074,0.0019110898573044914,0.008429899040975386
38,2018Q4,1870422.0,8856.0,211203929.5392954,8807.588075906038,0.004170181916178481,0.024333984313403993
39,2019Q1,1931351.0,9145.0,211192017.4958994,-11912.043395996094,-0.005640385246202491,0.11259128626866674
40,2019Q2,2046046.0,9688.0,211193848.059455,1830.563555598259,0.0008667693554610176,0.03600617957859164
41,2019Q3,1995649.0,9449.0,211202137.792359,8289.73290398717,0.003925023198456981,0.04637779635993538
42,2019Q4,1966895.0,9313.0,211198861.80607754,-3275.986281454563,-0.0015511382274695062,0.06457221747000016
43,2020Q1,1929111.0,9134.0,211201116.70680973,2254.900732189417,0.0010676556863663176,0.06032151794305581
44,2020Q2,1991925.0,9396.0,211997126.43678162,796009.7299718857,0.3754813772012419,0.07606347200204856
45,2020Q3,2039344.0,9656.0,211199668.5998343,-797457.8369473219,-0.37758479557952657,0.07990898993398524
46,2020Q4,2096629.0,9927.0,211204694.26815754,5025.668323248625,0.0023795249157046432,0.0830083348241604
47,2021Q1,2064406.0,9775.0,211192429.66751918,-12264.600638359785,-0.0058073107344178854,0.07968194623361866
48,2021Q2,2148603.0,10173.0,211206428.7820702,13999.114551007748,0.006628166875286026,0.10315236115988444
49,2021Q3,2338332.0,11072.0,211193280.3468208,-13148.435249388218,-0.006225782954739804,0.07954180440893488
50,2021Q4,2456852.0,11633.0,211196767.81569672,3487.468875914812,0.0016512889434738848,0.10309976855025929
51,2022Q1,2508193.0,11876.0,211198467.4974739,1699.6817771792412,0.0008047794083541684,0.11628575581978917
52,2022Q2,2462300.0,11659.0,211193069.73153788,-5397.765936017036,-0.002555844253260067,0.03308321695366307
