,quarter,roa
0,2005Q4,4.21
1,2006Q4,7.07
2,2007Q1,5.78
3,2007Q2,4.47
4,2007Q3,3.15
5,2007Q4,2.9
6,2008Q1,2.44
7,2008Q2,2.48
8,2008Q3,2.93
9,2008Q4,1.76
10,2009Q1,2.33
11,2009Q2,3.81
12,2009Q3,6.36
13,2009Q4,5.0
14,2010Q1,4.17
15,2010Q2,7.29
16,2010Q3,2.8
17,2010Q4,2.42
18,2011Q1,5.19
19,2011Q2,4.36
20,2011Q3,3.23
21,2011Q4,4.87
22,2012Q1,5.72
23,2012Q2,5.11
24,2012Q3,3.91
25,2012Q4,2.75
26,2013Q1,2.76
27,2013Q2,3.27
28,2013Q3,3.54
29,2013Q4,3.83
30,2014Q1,3.43
31,2014Q2,3.45
32,2014Q3,3.5
33,2014Q4,2.53
34,2015Q1,3.28
35,2015Q2,2.8
36,2015Q3,3.11
37,2015Q4,2.27
38,2016Q1,1.85
39,2016Q2,2.15
40,2016Q3,2.53
41,2016Q4,1.27
42,2017Q1,1.59
43,2017Q2,0.72
44,2017Q3,0.73
45,2017Q4,2.14
46,2018Q1,1.42
47,2018Q2,4.63
48,2018Q3,2.9
49,2018Q4,2.27
50,2019Q1,2.11
51,2019Q2,2.98
52,2019Q3,3.55
53,2019Q4,0.65
54,2020Q1,0.14
55,2020Q2,1.95
56,2020Q3,0.44
57,2020Q4,0.26
58,2021Q1,3.13
59,2021Q2,0.19
60,2021Q3,0.19
61,2021Q4,2.53
62,2022Q1,1.29
63,2022Q2,4.92
