,Quý,Doanh thu thuần(MilVND),LN gộp(MilVND),LN thuần từ HĐKD(MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ(MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản(MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2010Q4,113613.0,51816.0,14716.0,18002.0,18002.0,2277952.0,2498436.0,1818162.0,1565742.0,680274.0,0.0,273.0,10307.0,0.0,15.84,1.44,0.39
1,2011Q1,108286.0,40674.0,2331.0,19946.0,19946.0,1057518.0,1285569.0,585350.0,312401.0,700219.0,0.0,575.0,10609.0,0.0,18.42,1.4,0.76
2,2011Q2,112416.0,28525.0,-14074.0,14857.0,14857.0,2114571.0,2344349.0,1632387.0,1334621.0,711962.0,0.0,800.0,10787.0,0.0,13.22,1.38,0.42
3,2011Q3,108506.0,22226.0,17546.0,20398.0,20398.0,2739738.0,2948297.0,2216017.0,1918279.0,732279.0,0.0,1109.0,11095.0,6.85,18.8,10.37,3.23
4,2011Q4,132571.0,45501.0,-49097.0,23793.0,23793.0,1661646.0,1871559.0,1121783.0,828854.0,749777.0,0.0,1197.0,11360.0,5.01,17.95,10.92,3.74
5,2012Q1,127128.0,32629.0,0.0,22917.0,22917.0,1655317.0,1799436.0,1037066.0,709393.0,762371.0,0.0,1247.0,11729.0,6.49,18.03,11.09,3.66
6,2012Q2,127578.0,39261.0,-14515.0,18185.0,18185.0,2218971.0,2383859.0,1668370.0,1083710.0,715488.0,0.0,1302.0,11008.0,5.91,14.25,11.53,3.79
7,2012Q3,119275.0,63725.0,13049.0,27400.0,27400.0,1693644.0,1907905.0,1165118.0,710066.0,742787.0,0.0,1413.0,11428.0,4.46,22.97,12.43,4.64
8,2012Q4,155927.0,50892.0,-6925.0,16034.0,16034.0,1297993.0,1565132.0,806346.0,273502.0,758786.0,0.0,1299.0,11674.0,5.77,10.28,11.35,4.42
9,2013Q1,129739.0,41058.0,-3407.0,23238.0,23238.0,1275694.0,1548655.0,778548.0,392648.0,770107.0,0.0,1306.0,11848.0,6.89,17.91,11.36,4.58
