,quarter,price,price_diff,price_diff_perc
1,2015Q4,19.5,1.6999999999999993,9.550561797752806
2,2016Q1,26.4,6.899999999999999,35.38461538461538
3,2016Q2,32.2,5.800000000000004,21.969696969696987
4,2016Q3,27.0,-5.200000000000003,-16.14906832298137
5,2016Q4,21.9,-5.100000000000001,-18.888888888888893
6,2017Q1,22.1,0.20000000000000284,0.9132420091324331
7,2017Q2,18.4,-3.700000000000003,-16.742081447963812
8,2017Q3,16.6,-1.7999999999999972,-9.78260869565216
9,2017Q4,14.2,-2.400000000000002,-14.457831325301218
10,2018Q1,13.5,-0.6999999999999993,-4.929577464788728
11,2018Q2,14.6,1.0999999999999996,8.148148148148145
12,2018Q3,9.8,-4.799999999999999,-32.87671232876712
13,2018Q4,8.9,-0.9000000000000004,-9.183673469387758
14,2019Q1,7.3,-1.6000000000000005,-17.977528089887645
15,2019Q2,8.3,1.0000000000000009,13.698630136986313
16,2019Q3,9.0,0.6999999999999993,8.433734939759027
17,2019Q4,9.1,0.09999999999999964,1.1111111111111072
18,2020Q1,8.0,-1.0999999999999996,-12.087912087912086
19,2020Q2,9.3,1.3000000000000007,16.250000000000007
20,2020Q3,9.0,-0.3000000000000007,-3.2258064516129106
21,2020Q4,11.2,2.1999999999999993,24.44444444444444
22,2021Q1,11.7,0.5,4.464285714285714
23,2021Q2,11.2,-0.5,-4.273504273504273
24,2021Q3,12.7,1.5,13.392857142857144
25,2021Q4,13.2,0.5,3.937007874015748
26,2022Q1,16.1,2.900000000000002,21.969696969696987
27,2022Q2,14.9,-1.200000000000001,-7.453416149068329
