quarter,trend
2005Q1,0.8264462809917356
2005Q2,1.6528925619834711
2005Q3,0.0
2005Q4,0.8264462809917356
2006Q1,1.2396694214876034
2006Q2,0.0
2006Q3,0.4132231404958678
2006Q4,0.4132231404958678
2007Q1,0.0
2007Q2,0.0
2007Q3,0.0
2007Q4,0.4132231404958678
2008Q1,1.2396694214876034
2008Q2,1.2396694214876034
2008Q3,0.4132231404958678
2008Q4,11.983471074380166
2009Q1,22.31404958677686
2009Q2,22.31404958677686
2009Q3,15.702479338842975
2009Q4,13.636363636363637
2010Q1,10.743801652892563
2010Q2,9.50413223140496
2010Q3,5.785123966942149
2010Q4,6.198347107438017
2011Q1,34.710743801652896
2011Q2,100.0
2011Q3,58.264462809917354
2011Q4,31.40495867768595
2012Q1,21.074380165289256
2012Q2,16.115702479338843
2012Q3,26.03305785123967
2012Q4,17.768595041322314
2013Q1,13.636363636363637
2013Q2,11.570247933884298
2013Q3,8.264462809917354
2013Q4,7.43801652892562
2014Q1,12.809917355371901
2014Q2,9.50413223140496
2014Q3,7.43801652892562
2014Q4,6.198347107438017
2015Q1,8.677685950413224
2015Q2,9.917355371900827
2015Q3,4.958677685950414
2015Q4,5.371900826446281
2016Q1,4.132231404958677
2016Q2,4.132231404958677
2016Q3,2.479338842975207
2016Q4,4.132231404958677
2017Q1,2.479338842975207
2017Q2,2.0661157024793386
2017Q3,1.6528925619834711
2017Q4,1.2396694214876034
2018Q1,1.2396694214876034
2018Q2,1.2396694214876034
2018Q3,1.2396694214876034
2018Q4,1.2396694214876034
2019Q1,0.4132231404958678
2019Q2,0.4132231404958678
2019Q3,0.4132231404958678
2019Q4,0.0
2020Q1,0.0
2020Q2,0.0
2020Q3,0.4132231404958678
2020Q4,0.0
2021Q1,0.0
2021Q2,0.0
2021Q3,0.0
2021Q4,0.0
2022Q1,0.0
2022Q2,0.0
2022Q3,0.0
