quarter,s,ln_s
2018Q2,0.21821292748834079,0.007805149745976596
2018Q3,0.15948957144724174,0.006554741388521729
2018Q4,0.08502379925789054,0.003662081344656758
2019Q1,0.12268532640295395,0.005934919318530254
2019Q2,0.1087779122635984,0.0047595557215044815
2019Q3,0.11022234780213613,0.004918130880825001
2019Q4,0.10482392935642897,0.004821939081411843
2020Q1,0.15273841935229984,0.007445629037865513
2020Q2,0.13996348753414747,0.007199646014918879
2020Q3,0.14645726914089474,0.006820226787942812
2020Q4,0.10985386585269984,0.004523542275733519
2021Q1,0.1730277078748301,0.006572760693057698
2021Q2,0.24880395713880943,0.008084288960951392
2021Q3,0.16320112514692897,0.004756374261097407
2021Q4,0.2489821199964544,0.00616280981372522
2022Q1,0.345377804582445,0.009145685659320679
2022Q2,0.3284092970501935,0.011130444455352438
2022Q3,0.17252287701579208,0.006490950222104676
