,Quý,DT từ KD chứng khoán (MilVND),Lợi nhuận gộp(MilVND),LNT từ KD chứng khoán(MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Các khoản cho vay(MilVND),Tổng tài sản(MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của cổ đông thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2009Q4,54537.0,44662.0,28113.0,41103.0,41103.0,231940.0,,419445.0,72824.0,72824.0,346621.0,0.0,1370.0,11554.0,0.0,75.37,1.04,0.86
1,2010Q2,28674.0,23298.0,14396.0,10997.0,10997.0,395818.0,,540037.0,181392.0,181392.0,358645.0,0.0,1737.0,11955.0,0.0,38.35,1.01,0.67
2,2010Q3,15196.0,11592.0,1783.0,1602.0,1602.0,315025.0,,463949.0,103941.0,103941.0,360008.0,0.0,1790.0,12000.0,9.94,10.54,1.01,0.78
3,2010Q4,33542.0,17833.0,6881.0,7016.0,7016.0,335454.0,,488654.0,121734.0,121734.0,366920.0,0.0,654.0,12231.0,25.08,20.92,0.99,0.74
4,2011Q1,11900.0,9934.0,406.0,305.0,305.0,248065.0,,400465.0,33241.0,33241.0,367224.0,0.0,664.0,12241.0,22.74,2.56,5.48,4.21
5,2011Q2,12324.0,9478.0,36.0,840.0,840.0,242588.0,,392491.0,24426.0,24426.0,368064.0,0.0,319.0,11153.0,43.91,6.81,2.67,2.24
6,2011Q3,9021.0,8653.0,32.0,25.0,25.0,245455.0,,392961.0,24872.0,24872.0,368089.0,0.0,261.0,11154.0,53.66,0.27,2.23,1.96
7,2011Q4,5934.0,1192.0,-8074.0,131.0,131.0,240383.0,,386002.0,17663.0,17663.0,368338.0,0.0,40.0,11162.0,346.38,2.21,0.35,0.33
8,2012Q1,7794.0,1889.0,68.0,51.0,51.0,243563.0,,388885.0,20495.0,20495.0,368390.0,0.0,32.0,11163.0,364.14,0.66,0.28,0.27
9,2012Q2,11639.0,1890.0,58.0,58.0,58.0,236717.0,,380425.0,11960.0,11960.0,368464.0,0.0,8.0,11166.0,1171.12,0.5,0.07,0.07
10,2012Q3,6660.0,1252.0,35.0,27.0,27.0,243070.0,,384950.0,16459.0,16459.0,368491.0,0.0,8.0,11166.0,851.89,0.4,0.07,0.07
11,2012Q4,8113.0,2130.0,73.0,73.0,73.0,236888.0,,377700.0,9128.0,9128.0,368573.0,,6.0,11169.0,945.3,0.9,0.06,0.05
12,2013Q1,6035.0,1255.0,58.0,58.0,58.0,245816.0,,376972.0,8342.0,8342.0,368630.0,,7.0,11171.0,841.08,0.95,0.06,0.06
13,2013Q2,5517.0,1233.0,67.0,67.0,67.0,167164.0,,375890.0,7192.0,7192.0,368698.0,,7.0,11173.0,703.98,1.22,0.06,0.06
14,2013Q3,4771.0,1344.0,60.0,60.0,60.0,247664.0,,374334.0,5576.0,5576.0,368758.0,,8.0,11174.0,485.19,1.27,0.07,0.07
15,2013Q4,4161.0,858.0,65.0,65.0,65.0,248849.0,,373429.0,4606.0,4606.0,368823.0,,8.0,11176.0,620.14,1.56,0.07,0.07
16,2014Q1,3628.0,1071.0,60.0,60.0,60.0,254316.0,,377976.0,9056.0,9056.0,368920.0,,8.0,11179.0,929.24,1.64,0.07,0.07
17,2014Q2,3880.0,626.0,53.0,53.0,53.0,254009.0,,376098.0,7126.0,7126.0,368972.0,,7.0,11181.0,847.98,1.35,0.06,0.06
18,2014Q3,2755.0,735.0,58.0,58.0,58.0,256691.0,,378698.0,9838.0,9838.0,368860.0,,7.0,11178.0,801.86,2.09,0.06,0.06
19,2014Q4,2826.0,2303.0,2041.0,1878.0,1878.0,257093.0,,392860.0,17716.0,17716.0,375144.0,,62.0,11368.0,85.39,66.46,0.55,0.54
20,2015Q1,2957.0,966.0,301.0,301.0,301.0,180452.0,,394888.0,19442.0,19442.0,375445.0,,69.0,11377.0,72.06,10.19,0.62,0.59
21,2015Q2,2731.0,2179.0,101.0,101.0,101.0,175445.0,,381594.0,11882.0,11882.0,369712.0,,71.0,11203.0,64.93,3.68,0.63,0.6
