,quarter,roa
0,2010Q1,2.61
1,2010Q2,3.38
2,2010Q3,7.34
3,2010Q4,3.2
4,2011Q1,2.58
5,2011Q2,1.31
6,2011Q3,2.45
7,2011Q4,2.57
8,2012Q1,1.88
9,2012Q2,1.35
10,2012Q3,1.51
11,2012Q4,2.22
12,2013Q1,1.94
13,2013Q2,1.44
14,2013Q3,1.39
15,2013Q4,1.08
16,2014Q1,1.32
17,2014Q2,1.41
18,2014Q3,1.46
19,2014Q4,0.05
20,2015Q1,-0.47
21,2015Q2,0.38
22,2015Q3,1.28
23,2015Q4,1.21
24,2016Q1,1.47
25,2016Q2,1.66
26,2016Q3,1.68
27,2016Q4,1.49
28,2017Q1,2.13
29,2017Q2,1.19
30,2017Q3,1.46
31,2017Q4,1.56
32,2018Q1,1.05
33,2018Q2,0.65
34,2018Q3,0.65
35,2018Q4,0.72
36,2019Q1,2.76
37,2019Q2,1.61
38,2019Q3,0.78
39,2019Q4,0.74
40,2020Q1,0.74
41,2020Q2,0.87
42,2020Q3,0.98
43,2020Q4,0.69
44,2021Q1,0.85
45,2021Q2,0.89
46,2021Q3,0.64
47,2021Q4,0.61
48,2022Q1,0.86
49,2022Q2,0.79
