,quarter,price,price_diff,price_diff_perc
1,2009Q1,18.5,-5.699999999999999,-23.55371900826446
2,2009Q2,28.1,9.600000000000001,51.891891891891895
3,2009Q3,30.8,2.6999999999999993,9.608540925266901
4,2009Q4,28.0,-2.8000000000000007,-9.090909090909092
5,2010Q1,29.3,1.3000000000000007,4.642857142857145
6,2010Q2,61.0,31.7,108.19112627986348
7,2010Q3,57.0,-4.0,-6.557377049180328
8,2010Q4,39.1,-17.9,-31.403508771929822
9,2011Q1,35.3,-3.8000000000000043,-9.718670076726355
10,2011Q2,26.2,-9.099999999999998,-25.779036827195462
11,2011Q3,27.4,1.1999999999999993,4.580152671755722
12,2011Q4,34.0,6.600000000000001,24.087591240875916
13,2012Q1,34.7,0.7000000000000028,2.058823529411773
14,2012Q2,27.9,-6.800000000000004,-19.596541786743526
15,2012Q3,29.8,1.9000000000000021,6.810035842293916
16,2012Q4,25.4,-4.400000000000002,-14.765100671140948
17,2013Q1,22.0,-3.3999999999999986,-13.385826771653539
18,2013Q2,21.0,-1.0,-4.545454545454546
19,2013Q3,21.5,0.5,2.380952380952381
20,2013Q4,23.5,2.0,9.30232558139535
21,2014Q1,35.0,11.5,48.93617021276596
22,2014Q2,29.0,-6.0,-17.142857142857142
23,2014Q3,32.9,3.8999999999999986,13.44827586206896
24,2014Q4,35.5,2.6000000000000014,7.902735562310034
25,2015Q1,33.0,-2.5,-7.042253521126761
26,2015Q2,32.7,-0.29999999999999716,-0.9090909090909005
27,2015Q3,32.5,-0.20000000000000284,-0.6116207951070423
28,2015Q4,36.7,4.200000000000003,12.923076923076932
29,2016Q1,39.5,2.799999999999997,7.629427792915523
30,2016Q2,46.5,7.0,17.72151898734177
31,2016Q3,52.4,5.899999999999999,12.68817204301075
32,2016Q4,55.2,2.8000000000000043,5.343511450381688
33,2017Q1,94.9,39.7,71.92028985507247
34,2017Q2,83.8,-11.100000000000009,-11.696522655426774
35,2017Q3,70.0,-13.799999999999997,-16.46778042959427
36,2017Q4,67.0,-3.0,-4.285714285714286
37,2018Q1,66.8,-0.20000000000000284,-0.2985074626865714
38,2018Q2,37.5,-29.299999999999997,-43.862275449101794
39,2018Q3,39.5,2.0,5.333333333333333
40,2018Q4,42.3,2.799999999999997,7.088607594936701
41,2019Q1,37.3,-5.0,-11.82033096926714
42,2019Q2,31.0,-6.299999999999997,-16.89008042895442
43,2019Q3,46.0,15.0,48.38709677419355
44,2019Q4,48.6,2.6000000000000014,5.652173913043481
45,2020Q1,44.0,-4.600000000000001,-9.465020576131689
46,2020Q2,45.5,1.5,3.409090909090909
47,2020Q3,53.5,8.0,17.582417582417584
48,2020Q4,53.3,-0.20000000000000284,-0.3738317757009399
49,2021Q1,52.5,-0.7999999999999972,-1.5009380863039348
50,2021Q2,48.0,-4.5,-8.571428571428571
51,2021Q3,46.7,-1.2999999999999972,-2.7083333333333273
52,2021Q4,45.0,-1.7000000000000028,-3.640256959314781
53,2022Q1,41.3,-3.700000000000003,-8.222222222222229
54,2022Q2,40.9,-0.3999999999999986,-0.9685230024213042
