,Quý,Doanh thu thuần(MilVND),LN gộp(MilVND),LN thuần từ HĐKD(MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ(MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản(MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2007Q2,523383.0,108527.0,21289.0,49169.0,49169.0,1242458.0,1826797.0,1239663.0,482488.0,587134.0,0.0,1133.0,13528.0,63.64,9.39,14.52,4.67
1,2008Q1,294902.0,87108.0,10029.0,48771.0,48771.0,1767505.0,3325680.0,1231238.0,356790.0,2094442.0,0.0,1758.0,27741.0,26.1,16.54,4.07,2.56
2,2008Q2,352572.0,63090.0,-17472.0,31214.0,31214.0,1873343.0,3403646.0,1334492.0,369382.0,2069154.0,0.0,1270.0,27406.0,16.77,8.85,4.12,2.5
3,2008Q3,325026.0,106459.0,-25173.0,37082.0,37082.0,2030502.0,3434348.0,1339929.0,475763.0,2094419.0,0.0,1633.0,27741.0,16.29,11.41,4.07,2.48
4,2008Q4,387827.0,80054.0,-453.0,15997.0,15997.0,1805385.0,3225988.0,1029686.0,262546.0,2196302.0,0.0,1762.0,29090.0,9.65,4.12,6.3,3.98
5,2009Q1,356174.0,87614.0,-2938.0,35094.0,35094.0,1799301.0,3364553.0,1230425.0,324347.0,2134128.0,0.0,1581.0,28267.0,10.81,9.85,5.62,3.56
6,2009Q2,326268.0,65208.0,-27286.0,52587.0,52587.0,1974892.0,3641646.0,1546811.0,587186.0,2094835.0,0.0,1864.0,27746.0,15.13,16.12,6.61,4.12
7,2009Q3,309040.0,44225.0,-50591.0,4339.0,4339.0,2016075.0,3903413.0,1612907.0,581866.0,2195438.0,95068.0,1431.0,29079.0,20.55,1.4,5.01,3.06
8,2009Q4,370354.0,160289.0,35875.0,72970.0,71900.0,1819330.0,3736848.0,1383873.0,484567.0,2256583.0,96392.0,2171.0,29889.0,10.36,19.7,7.55,4.48
9,2010Q1,412819.0,121560.0,-3136.0,95805.0,94652.0,2234516.0,4054713.0,1662038.0,472092.0,2295194.0,97481.0,2960.0,30400.0,6.82,23.21,10.11,5.83
10,2010Q2,350819.0,116303.0,-1970.0,25414.0,24081.0,2045099.0,3843182.0,1524925.0,408048.0,2223908.0,94349.0,2582.0,29456.0,8.29,7.24,8.69,5.02
11,2010Q3,367019.0,110224.0,107.0,26033.0,24677.0,2383091.0,4044718.0,1689198.0,510740.0,2259732.0,95788.0,2852.0,29930.0,5.89,7.09,9.53,5.49
12,2010Q4,410721.0,169069.0,11141.0,56985.0,55701.0,2242558.0,3818540.0,1466054.0,487141.0,2255623.0,96863.0,2637.0,29876.0,5.88,13.87,8.82,5.05
13,2011Q1,389708.0,136995.0,16093.0,54724.0,53222.0,2579168.0,4158337.0,1728048.0,501159.0,2331955.0,98334.0,2088.0,30887.0,6.27,14.04,6.95,3.98
14,2011Q2,430698.0,130684.0,0.0,43232.0,41287.0,2508146.0,4048529.0,1705802.0,1705601.0,2246944.0,95784.0,2316.0,29761.0,5.01,10.04,7.69,4.35
15,2011Q3,405231.0,123131.0,-4586.0,50983.0,48886.0,2675662.0,4145912.0,1773406.0,561002.0,2274516.0,97990.0,2637.0,30126.0,3.91,12.58,15.82,8.96
16,2011Q4,500824.0,162105.0,2135.0,50590.0,48807.0,2652076.0,4123183.0,1723310.0,753452.0,2300254.0,99619.0,2546.0,30467.0,3.5,10.1,15.32,8.51
17,2012Q1,407027.0,113198.0,-3828.0,38394.0,36525.0,2917940.0,4314957.0,1898918.0,688588.0,2314560.0,101478.0,2325.0,30656.0,4.3,9.43,14.39,7.88
18,2012Q2,471828.0,148725.0,4660.0,16030.0,13925.0,2911003.0,4196763.0,1863637.0,820767.0,2235858.0,97267.0,1962.0,29614.0,4.79,3.4,6.49,3.53
19,2012Q3,381223.0,85101.0,-58200.0,-18085.0,-19824.0,2812088.0,4149542.0,1841069.0,778646.0,2209513.0,98960.0,1052.0,29265.0,7.6,-4.74,3.51,1.89
20,2012Q4,528853.0,251994.0,58674.0,62716.0,60807.0,2584411.0,3982310.0,1580992.0,564420.0,2300627.0,100691.0,1211.0,30472.0,6.52,11.86,4.04,2.2
21,2013Q1,422242.0,150408.0,8708.0,34939.0,33240.0,2505360.0,4036916.0,1710398.0,580991.0,2225743.0,100776.0,1168.0,29480.0,9.51,8.27,3.93,2.15
22,2013Q2,466135.0,139486.0,9998.0,8888.0,10162.0,2338215.0,3896488.0,1682110.0,608253.0,2120312.0,94066.0,1118.0,28084.0,10.47,1.91,3.81,2.1
23,2013Q3,505046.0,167263.0,6514.0,24291.0,23446.0,2328995.0,3964726.0,1726639.0,624997.0,2143305.0,94783.0,1691.0,28388.0,6.27,4.81,5.81,3.22
24,2013Q4,550229.0,174929.0,29542.0,27548.0,26331.0,2220696.0,3972520.0,1713954.0,736448.0,2162561.0,96005.0,1234.0,28643.0,9.72,5.01,4.31,2.35
25,2014Q1,464947.0,36318.0,5494.0,32080.0,31257.0,3278195.0,4931797.0,2633230.0,834999.0,2202904.0,95663.0,1208.0,29178.0,15.73,6.9,4.23,2.18
26,2014Q2,537029.0,42066.0,5554.0,42501.0,40996.0,3400853.0,5110135.0,2870140.0,885875.0,2142858.0,97137.0,1616.0,28382.0,8.41,7.91,5.64,2.71
27,2014Q3,550532.0,47996.0,17626.0,34070.0,33124.0,3340245.0,5204415.0,2947830.0,944204.0,2158503.0,98082.0,1744.0,28589.0,9.97,6.19,6.08,2.74
28,2014Q4,621168.0,91624.0,23569.0,31278.0,30197.0,2967315.0,5144685.0,2864743.0,831933.0,2183615.0,96327.0,1796.0,28922.0,9.3,5.04,6.24,2.66
