quarter,quarter,change_perc_mean,change_perc_stdv
2005Q1,2005Q1,0.11379310344827587,1.3891936669025415
2005Q2,2005Q2,-0.15444444444444447,0.7642322265236842
2005Q3,2005Q3,0.1710769230769231,1.4234422659930344
2005Q4,2005Q4,-0.07446153846153845,2.363538813126166
2006Q1,2006Q1,0.7593103448275862,2.122414102218183
2006Q2,2006Q2,-0.0982539682539683,3.2146547196733075
2006Q3,2006Q3,0.33015625,2.508905087304654
2006Q4,2006Q4,-0.048923076923076916,2.2216161931385416
2007Q1,2007Q1,0.8555172413793106,3.210800398880613
2007Q2,2007Q2,-0.013934426229508244,3.0773583253003016
2007Q3,2007Q3,0.04921874999999995,2.191773439142775
2007Q4,2007Q4,-0.15307692307692303,2.1564937710587957
2008Q1,2008Q1,-0.9005172413793103,3.4482797248919685
2008Q2,2008Q2,-0.3631666666666664,1.773718197160376
2008Q3,2008Q3,-0.04593749999999994,3.50933979172857
2008Q4,2008Q4,-0.19939393939393946,3.144234713683432
2009Q1,2009Q1,0.03206896551724135,1.995099925933175
2009Q2,2009Q2,0.622258064516129,3.6721836177504636
2009Q3,2009Q3,0.8341538461538459,2.781821509993324
2009Q4,2009Q4,0.1537878787878788,3.3038461340367045
2010Q1,2010Q1,0.2536206896551725,2.6044144024934486
2010Q2,2010Q2,-0.30467741935483855,1.6488154891274747
2010Q3,2010Q3,-0.025468749999999922,2.665368094348887
2010Q4,2010Q4,0.022424242424242485,2.14081584779553
2011Q1,2011Q1,-0.09543859649122802,1.927050920610705
2011Q2,2011Q2,0.24213114754098364,1.153936905776768
2011Q3,2011Q3,0.2501538461538461,1.5012062777851476
2011Q4,2011Q4,0.3587692307692308,1.8106615742701513
2012Q1,2012Q1,0.1698305084745762,2.393203373006654
2012Q2,2012Q2,0.5070967741935484,2.668430733716946
2012Q3,2012Q3,0.04531250000000001,3.0311577591922045
2012Q4,2012Q4,-0.39476923076923076,2.8773556152374464
2013Q1,2013Q1,0.05551724137931034,3.3705599370388297
2013Q2,2013Q2,-0.06737704918032786,2.78141744538005
2013Q3,2013Q3,-0.29969230769230765,3.3816688600225415
2013Q4,2013Q4,0.3903030303030303,2.8150316132652904
2014Q1,2014Q1,0.0785714285714286,3.638765739079132
2014Q2,2014Q2,-0.20377049180327864,3.1436704470700207
2014Q3,2014Q3,0.16062500000000002,2.228428783082341
2014Q4,2014Q4,0.578939393939394,2.532448574183843
2015Q1,2015Q1,-0.22803571428571426,1.3370108038495387
2015Q2,2015Q2,0.20459016393442617,1.5255682807514626
2015Q3,2015Q3,0.25446153846153846,1.5053498666934026
2015Q4,2015Q4,0.24515151515151526,1.8132913062454585
2016Q1,2016Q1,0.0671186440677966,1.0185521347472253
2016Q2,2016Q2,0.6943548387096772,2.8290087593625395
2016Q3,2016Q3,0.4278461538461539,2.7634220702711234
2016Q4,2016Q4,-0.5803076923076921,2.4782945050671747
2017Q1,2017Q1,0.24355932203389843,2.060383093531365
2017Q2,2017Q2,-0.1520967741935484,1.4998143459936766
2017Q3,2017Q3,-0.3887499999999999,1.8859375168494625
2017Q4,2017Q4,0.06199999999999999,1.6412497143944915
2018Q1,2018Q1,0.5450877192982456,2.9592030314687157
2018Q2,2018Q2,-0.10741935483870971,2.411608493552929
2018Q3,2018Q3,0.3857812500000001,1.8072032279033934
2018Q4,2018Q4,-0.2261538461538462,1.837009026505188
2019Q1,2019Q1,0.24603448275862091,2.067057353837391
2019Q2,2019Q2,-0.5455737704918032,2.489325560997171
2019Q3,2019Q3,-0.37107692307692325,1.8695597100963062
2019Q4,2019Q4,-0.29000000000000004,1.4808957788083221
2020Q1,2020Q1,-0.15915254237288137,3.510313517845808
2020Q2,2020Q2,0.29580645161290336,3.1105455472101946
2020Q3,2020Q3,0.6383076923076921,2.36826912614385
2020Q4,2020Q4,0.7906060606060605,2.6868144585609057
2021Q1,2021Q1,0.9762068965517245,3.1107971718133802
2021Q2,2021Q2,-0.25290322580645175,3.097480407642174
2021Q3,2021Q3,0.22921875,3.4536271729591173
2021Q4,2021Q4,-0.02909090909090911,2.3331574692300086
2022Q1,2022Q1,0.6110344827586205,2.5013411768490528
2022Q2,2022Q2,-0.6833870967741937,4.037584468404706
2022Q3,2022Q3,-0.5946875000000001,2.7810526548498893
