,quarter,roa
0,2007Q1,0.76
1,2007Q2,0.8
2,2007Q3,0.58
3,2007Q4,0.74
4,2008Q1,0.47
5,2008Q2,0.45
6,2008Q3,0.28
7,2008Q4,0.9
8,2009Q1,0.3
9,2009Q2,0.51
10,2009Q3,0.33
11,2009Q4,0.38
12,2010Q1,0.26
13,2010Q2,0.49
14,2010Q3,0.27
15,2010Q4,0.44
16,2011Q1,0.31
17,2011Q2,0.26
18,2011Q3,0.26
19,2011Q4,0.5
20,2012Q1,0.31
21,2012Q2,0.3
22,2012Q3,-0.22
23,2012Q4,-0.08
24,2013Q1,0.17
25,2013Q2,0.24
26,2013Q3,0.24
27,2013Q4,-0.18
28,2014Q1,0.15
29,2014Q2,0.18
30,2014Q3,0.15
31,2014Q4,0.06
32,2015Q1,0.15
33,2015Q2,0.15
34,2015Q3,0.15
35,2015Q4,0.09
36,2016Q1,0.15
37,2016Q2,0.16
38,2016Q3,0.15
39,2016Q4,0.14
40,2017Q1,0.2
41,2017Q2,0.19
42,2017Q3,0.2
43,2017Q4,0.21
44,2018Q1,0.39
45,2018Q2,0.43
46,2018Q3,0.42
47,2018Q4,0.42
48,2019Q1,0.41
49,2019Q2,0.45
50,2019Q3,0.44
51,2019Q4,0.42
52,2020Q1,0.4
53,2020Q2,0.39
54,2020Q3,0.51
55,2020Q4,0.59
56,2021Q1,0.56
57,2021Q2,0.56
58,2021Q3,0.44
59,2021Q4,0.48
60,2022Q1,0.62
61,2022Q2,0.74
