quarter,trend
2005Q1,43.66197183098591
2005Q2,0.0
2005Q3,0.0
2005Q4,49.29577464788732
2006Q1,100.0
2006Q2,70.4225352112676
2006Q3,0.0
2006Q4,38.028169014084504
2007Q1,11.971830985915492
2007Q2,0.0
2007Q3,20.422535211267604
2007Q4,0.0
2008Q1,0.0
2008Q2,9.859154929577464
2008Q3,10.56338028169014
2008Q4,4.225352112676056
2009Q1,4.225352112676056
2009Q2,2.112676056338028
2009Q3,0.0
2009Q4,8.450704225352112
2010Q1,3.5211267605633805
2010Q2,0.0
2010Q3,2.816901408450704
2010Q4,15.492957746478874
2011Q1,5.633802816901408
2011Q2,9.154929577464788
2011Q3,6.338028169014085
2011Q4,4.225352112676056
2012Q1,7.042253521126761
2012Q2,7.042253521126761
2012Q3,2.816901408450704
2012Q4,4.929577464788732
2013Q1,4.225352112676056
2013Q2,5.633802816901408
2013Q3,5.633802816901408
2013Q4,4.225352112676056
2014Q1,5.633802816901408
2014Q2,11.267605633802816
2014Q3,7.042253521126761
2014Q4,4.225352112676056
2015Q1,4.225352112676056
2015Q2,6.338028169014085
2015Q3,5.633802816901408
2015Q4,6.338028169014085
2016Q1,5.633802816901408
2016Q2,8.450704225352112
2016Q3,7.042253521126761
2016Q4,5.633802816901408
2017Q1,9.154929577464788
2017Q2,7.042253521126761
2017Q3,6.338028169014085
2017Q4,3.5211267605633805
2018Q1,5.633802816901408
2018Q2,4.929577464788732
2018Q3,4.225352112676056
2018Q4,4.225352112676056
2019Q1,4.225352112676056
2019Q2,4.225352112676056
2019Q3,4.225352112676056
2019Q4,4.225352112676056
2020Q1,3.5211267605633805
2020Q2,2.816901408450704
2020Q3,2.112676056338028
2020Q4,2.112676056338028
2021Q1,2.112676056338028
2021Q2,3.5211267605633805
2021Q3,2.112676056338028
2021Q4,2.816901408450704
2022Q1,3.5211267605633805
2022Q2,2.112676056338028
2022Q3,3.5211267605633805
