,quarter,roa
0,2006Q2,10.18
1,2008Q4,8.91
2,2009Q2,8.89
3,2009Q3,0.94
4,2009Q4,4.05
5,2010Q1,1.46
6,2010Q2,1.18
7,2010Q3,0.47
8,2010Q4,8.94
9,2011Q1,0.9
10,2011Q2,2.4
11,2011Q3,0.74
12,2011Q4,4.84
13,2012Q1,-2.55
14,2012Q2,2.86
15,2012Q3,0.3
16,2012Q4,6.53
17,2013Q1,0.04
18,2013Q2,1.18
19,2013Q3,0.17
20,2013Q4,5.22
21,2014Q1,0.33
22,2014Q2,1.45
23,2014Q3,2.28
24,2014Q4,2.67
25,2015Q1,0.32
26,2015Q2,2.12
27,2015Q3,0.9
28,2015Q4,1.65
29,2016Q1,0.78
30,2016Q2,1.79
31,2016Q3,1.34
32,2016Q4,2.18
33,2017Q1,0.89
34,2017Q2,1.38
35,2017Q3,0.48
36,2017Q4,3.14
37,2018Q1,0.11
38,2018Q2,0.03
39,2018Q3,2.75
40,2018Q4,2.92
41,2019Q1,0.27
42,2019Q2,0.49
43,2019Q3,4.04
44,2019Q4,1.86
45,2020Q1,0.45
46,2020Q2,2.21
47,2020Q3,2.26
48,2020Q4,1.6
49,2021Q1,0.86
50,2021Q2,0.7
51,2021Q3,0.36
52,2021Q4,5.3
53,2022Q1,0.68
54,2022Q2,2.18
