,quarter,roa
0,2006Q4,5.16
1,2007Q1,3.39
2,2007Q2,2.06
3,2007Q3,1.92
4,2007Q4,1.61
5,2008Q1,4.17
6,2008Q2,1.48
7,2008Q3,1.07
8,2008Q4,-0.94
9,2009Q1,0.88
10,2009Q2,0.79
11,2009Q3,1.01
12,2009Q4,1.42
13,2010Q1,1.36
14,2010Q2,0.32
15,2010Q3,1.05
16,2010Q4,0.65
17,2011Q1,2.21
18,2011Q2,0.28
19,2011Q3,0.53
20,2011Q4,1.61
21,2012Q1,2.38
22,2012Q2,0.49
23,2012Q3,0.72
24,2012Q4,1.65
25,2013Q1,1.8
26,2013Q2,1.41
27,2013Q3,1.44
28,2013Q4,1.02
29,2014Q1,1.01
30,2014Q2,0.36
31,2014Q3,0.93
32,2014Q4,0.89
33,2015Q1,0.88
34,2015Q2,0.35
35,2015Q3,1.01
36,2015Q4,2.31
37,2016Q1,1.4
38,2016Q2,1.84
39,2016Q3,1.71
40,2016Q4,2.15
41,2017Q1,2.3
42,2017Q2,1.61
43,2017Q3,2.41
44,2017Q4,3.09
45,2018Q1,2.07
46,2018Q2,1.3
47,2018Q3,2.1
48,2018Q4,2.7
49,2019Q1,1.94
50,2019Q2,1.65
51,2019Q3,2.29
52,2019Q4,-1.22
53,2020Q1,2.48
54,2020Q2,2.03
55,2020Q3,2.22
56,2020Q4,3.58
57,2021Q1,2.57
58,2021Q2,1.72
59,2021Q3,0.86
60,2021Q4,3.24
61,2022Q1,2.3
62,2022Q2,1.48
