quarter,s,ln_s
2016Q3,0.6662163902517192,0.06449625144288598
2016Q4,0.6003815408775003,0.056950375222651846
2017Q1,0.8966642495760772,0.08913820145137029
2017Q2,0.8018066734888106,0.0813844135471817
2017Q3,0.6975844810848275,0.03594396478334258
2017Q4,0.6158845381732801,0.05545693241560122
2018Q1,0.4629835186187826,0.0484868997619713
2018Q2,0.3264365248342674,0.053662568580423654
2018Q3,0.22409353704756502,0.05096655908315578
2018Q4,0.17080190313414967,0.04267260484367211
2019Q1,0.2343952444016606,0.0583365587353939
2019Q2,0.13159023674392734,0.035381192125472194
2019Q3,0.09978811141247311,0.04647720521847402
2019Q4,0.12957234731692202,0.04792129821349101
2020Q1,0.2722250785022926,0.08175669278942511
2020Q2,0.25785941787362343,0.08524165921494216
2020Q3,0.2601446344701183,0.0849304464438118
2020Q4,0.2587134615663187,0.07649488163321758
2021Q1,0.3840623488706742,0.08609621441824632
2021Q2,0.32995362067093303,0.056988619670151106
2021Q3,0.3406270456278024,0.07240618962567422
2021Q4,0.7612117089723739,0.11468880124903222
2022Q1,0.5176676092435861,0.07019078079373667
2022Q2,0.5283359971029076,0.08866548789067953
2022Q3,0.3488897754044053,0.0621896254123431
