,quarter,roa
0,2008Q3,2.53
1,2008Q4,-0.49
2,2009Q1,1.21
3,2009Q2,2.43
4,2009Q3,1.81
5,2009Q4,1.93
6,2010Q1,1.72
7,2010Q2,1.68
8,2010Q3,1.82
9,2010Q4,1.64
10,2011Q1,1.77
11,2011Q2,0.47
12,2011Q3,-1.73
13,2011Q4,20.9
14,2012Q1,0.92
15,2012Q2,1.39
16,2012Q3,0.75
17,2012Q4,-1.71
18,2013Q1,1.85
19,2013Q2,1.75
20,2013Q3,1.84
21,2013Q4,-1.64
22,2014Q1,0.18
23,2014Q2,0.03
24,2014Q3,0.96
25,2014Q4,2.3
26,2015Q1,-1.52
27,2015Q2,1.85
28,2015Q3,0.94
29,2015Q4,0.66
30,2016Q1,-1.78
31,2016Q2,1.43
32,2016Q3,1.41
33,2016Q4,0.66
34,2017Q1,-0.69
35,2017Q2,-1.52
36,2017Q3,0.03
37,2017Q4,2.21
38,2018Q1,0.01
39,2018Q2,0.21
40,2018Q3,0.04
41,2018Q4,0.08
42,2019Q1,0.15
43,2019Q2,0.27
44,2019Q3,0.08
45,2019Q4,1.12
46,2020Q1,0.33
47,2020Q2,1.69
48,2020Q3,1.04
49,2020Q4,3.82
50,2021Q1,1.59
51,2021Q2,1.77
52,2021Q3,1.6
53,2021Q4,2.08
54,2022Q1,0.28
55,2022Q2,1.63
