,quarter,roa
0,2005Q2,5.87
1,2005Q3,2.7
2,2005Q4,3.0
3,2006Q1,3.38
4,2006Q2,2.23
5,2006Q3,1.64
6,2006Q4,1.24
7,2007Q1,3.34
8,2007Q2,2.19
9,2007Q3,1.76
10,2007Q4,1.64
11,2008Q1,1.46
12,2008Q2,0.7
13,2008Q3,1.65
14,2008Q4,1.67
15,2009Q1,1.91
16,2009Q2,1.72
17,2009Q3,1.35
18,2009Q4,2.66
19,2010Q1,1.47
20,2010Q2,1.57
21,2010Q3,1.46
22,2010Q4,7.65
23,2011Q1,2.35
24,2011Q2,1.81
25,2011Q3,1.49
26,2011Q4,1.41
27,2012Q1,1.47
28,2012Q2,1.42
29,2012Q3,1.6
30,2012Q4,1.51
31,2013Q1,1.64
32,2013Q2,1.17
33,2013Q3,0.82
34,2013Q4,1.27
35,2014Q1,1.36
36,2014Q2,1.15
37,2014Q3,1.29
38,2014Q4,1.07
39,2015Q1,1.37
40,2015Q2,1.09
41,2015Q3,1.36
42,2015Q4,1.46
43,2016Q1,2.73
44,2016Q2,1.88
45,2016Q3,3.77
46,2016Q4,0.84
47,2017Q1,2.89
48,2017Q2,1.43
49,2017Q3,1.26
50,2017Q4,1.95
51,2018Q1,1.69
52,2018Q2,1.45
53,2018Q3,0.8
54,2018Q4,0.32
55,2019Q1,0.67
56,2019Q2,0.76
57,2019Q3,6.31
58,2019Q4,0.65
59,2020Q1,0.56
60,2020Q2,-0.08
61,2020Q3,0.59
62,2020Q4,0.76
63,2021Q1,0.24
64,2021Q2,0.48
65,2021Q3,0.05
66,2021Q4,0.17
67,2022Q1,0.37
68,2022Q2,0.38
