quarter,s,ln_s
2017Q3,0.5256517963588452,0.038522846579587454
2017Q4,0.36147822362751847,0.03207804466004512
2018Q1,0.48970618946483396,0.0395514074580644
2018Q2,0.3671852186226079,0.03383318423351267
2018Q3,0.4753962878480214,0.03583835125893894
2018Q4,0.3586050370758609,0.02512549319981893
2019Q1,0.4401827647902188,0.02961576958557914
2019Q2,0.3376107409614627,0.02232163667141629
2019Q3,0.32013527141476117,0.021631367634013684
2019Q4,0.2353177609829528,0.01592319536321842
2020Q1,0.3754361319844638,0.0249738789195266
2020Q2,0.5067518022423496,0.03146908768776975
2020Q3,0.48134257374388045,0.03011104626899208
2020Q4,0.2251348089000369,0.013916297540751271
2021Q1,0.7275158268928912,0.055980675008194654
2021Q2,0.4894941081017071,0.036590191135029516
2021Q3,0.8904564587436617,0.07668622465790438
2021Q4,1.0331615405413084,0.06761788342188078
2022Q1,1.091979237485742,0.04602260079928652
2022Q2,0.7511930072921653,0.02006886312038964
2022Q3,0.5510942706503285,0.014822335214193476
