,date,quarter,price,shares_est,lev,market_cap
0,2006-09-29,2006Q3,27.3,3500067.668155366,0.486478163666996,95551847341
1,2006-12-29,2006Q4,45.5,3500064.201335388,0.4592264840920666,159252921161
2,2007-03-30,2007Q1,60.0,3500096.110719549,0.4618764238525846,210005766643
3,2007-06-29,2007Q2,46.0,3500030.06072266,0.4040436054251562,161001382793
4,2007-09-28,2007Q3,63.0,3499970.5830440666,0.3859707029512845,220498146732
5,2007-12-28,2007Q4,49.0,5250082.562747688,0.3825591293882867,257254045575
6,2008-03-31,2008Q1,23.1,5250147.791571658,0.3765281626247037,121278413985
7,2008-06-30,2008Q2,17.5,5249886.070180769,0.3512782938086281,91873006228
8,2008-09-30,2008Q3,30.4,5249835.418038183,0.3220461435222982,159594996708
9,2008-12-31,2008Q4,22.2,5249936.53211475,0.3309175004981234,116548591013
10,2009-03-31,2009Q1,24.5,5250199.468085106,0.3357308673553834,128629886968
11,2009-06-30,2009Q2,43.5,5249890.638670166,0.3118795892357671,228370242782
12,2009-09-30,2009Q3,82.5,5249988.557828734,0.2494127176575992,433124056021
13,2009-12-31,2009Q4,63.5,5249989.432303336,0.1664105013899277,333374328951
14,2010-03-31,2010Q1,65.0,5249897.806240632,0.2703745067233857,341243357406
15,2010-06-30,2010Q2,59.0,5250019.947339025,0.1777705566559581,309751176893
16,2010-09-30,2010Q3,48.7,5250025.381569596,0.1632072918538902,255676236082
17,2010-12-31,2010Q4,48.4,5249991.615521347,0.1735136181923537,254099594191
18,2011-03-31,2011Q1,52.0,5249973.815591943,0.1965688202100337,272998638411
19,2011-06-30,2011Q2,31.0,7874812.048309647,0.1544362726842826,244119173498
20,2011-09-30,2011Q3,28.0,7874899.830825394,0.1379068332606816,220497195263
21,2011-12-30,2011Q4,24.0,7874974.0480837105,0.1356464426675974,188999377154
22,2012-03-30,2012Q1,23.4,7875096.797704186,0.1548054962683124,184277265066
23,2012-06-29,2012Q2,23.5,7875138.383678634,0.17962172685791,185065752016
24,2012-09-28,2012Q3,25.7,7875063.59473799,0.1625697993910934,202389134385
25,2012-12-28,2012Q4,32.8,7874964.709203839,0.1502539959701221,258298842462
26,2013-03-29,2013Q1,46.5,7875037.58896054,0.105451729548605,366189247887
27,2013-06-28,2013Q2,47.4,7874825.986078886,0.1400719546138659,373266751740
28,2013-09-30,2013Q3,44.8,7874954.941965251,0.1347293288496327,352797981400
29,2013-12-31,2013Q4,45.3,7874970.279542135,0.1185965788156439,356736153663
30,2014-03-31,2014Q1,48.0,7874995.263536812,0.2030760492080722,377999772650
31,2014-06-30,2014Q2,37.0,7874844.267255188,0.1368396405117454,291369237888
32,2014-09-30,2014Q3,43.0,7875017.248516628,0.1014186403193963,338625741686
33,2014-12-31,2014Q4,42.8,7875110.804688269,0.0805956416159924,337054742441
34,2015-03-31,2015Q1,41.5,7874945.411441762,0.0862217489531419,326810234575
35,2015-06-30,2015Q2,46.6,7874952.542021883,0.1232467697408994,366972788458
36,2015-09-30,2015Q3,45.5,7875035.411879505,0.1428483323642631,358314111241
37,2015-12-31,2015Q4,52.3,7874960.566692478,0.1205964485902345,411860437638
38,2016-03-31,2016Q1,64.6,7875024.214750242,0.0924503747625581,508726564273
39,2016-06-30,2016Q2,63.8,7875076.286252554,0.0859173840228733,502429867063
40,2016-09-30,2016Q3,19.5,23624542.552363157,0.0699423097179798,460678579771
41,2016-12-30,2016Q4,18.8,23623803.00957592,0.0613995619796193,444127496580
42,2017-03-31,2017Q1,17.0,23624003.609565347,0.0418251413178438,401608061363
43,2017-06-30,2017Q2,13.7,23624043.55503237,0.0530345255173999,323649396704
44,2017-09-29,2017Q3,11.7,25986414.55469929,0.0528134038762646,304041050290
45,2017-12-29,2017Q4,12.8,25986751.87032419,0.0428952344732016,332630423940
46,2018-03-30,2018Q1,14.1,25987786.14226456,0.0476044354395332,366427784606
47,2018-06-29,2018Q2,11.8,25986561.98097539,0.0444414215357499,306641431376
48,2018-09-28,2018Q3,10.9,25987649.75595326,0.0582312471471801,283265382340
49,2018-12-28,2018Q4,11.3,25986977.139217213,0.0563535569373355,293652841673
50,2019-03-29,2019Q1,12.2,25987717.216832995,0.061138046423622,317050150045
51,2019-06-28,2019Q2,11.7,25986538.19871532,0.0580963631367073,304042496925
52,2019-09-30,2019Q3,11.7,25986195.911866207,0.0651054846736477,304038492169
53,2019-12-31,2019Q4,11.5,25986998.08795411,0.0576783075814068,298850478011
54,2020-03-31,2020Q1,8.8,25987718.52872987,0.0597642256636494,228691923053
55,2020-06-30,2020Q2,10.0,25987273.17013762,0.0753599322376801,259872731701
56,2020-09-30,2020Q3,13.7,25986307.782328848,0.0807694853521851,356012416618
57,2020-12-31,2020Q4,17.3,25987629.44304506,0.0394686207406937,449585989365
58,2021-03-31,2021Q1,17.9,25987340.378687803,0.0361796508883547,465173392779
59,2021-06-30,2021Q2,15.9,25987336.997521285,0.0376154404147168,413198658261
60,2021-09-30,2021Q3,19.6,25987469.705563866,0.0557845432210125,509354406229
61,2021-12-31,2021Q4,21.0,25987438.448397145,0.0311049331946345,545736207416
62,2022-03-31,2022Q1,22.6,27281680.16194332,0.0299061551904226,616565971660
63,2022-06-30,2022Q2,13.0,27282108.499454528,0.0355744874171518,354667410493
