quarter,change_perc_mean,change_perc_stdv
2009Q4,-1.563157894736842,7.9866166196481325
2010Q1,0.7694827586206897,5.67219176129391
2010Q2,0.4932258064516129,5.978055162169889
2010Q3,0.12609375000000006,5.599896999389349
2010Q4,0.10676923076923076,4.858571712606336
2011Q1,-0.7845454545454547,6.943817078732389
2011Q2,-0.05081967213114752,6.02724074379036
2011Q3,0.20749999999999996,6.534379653824643
2011Q4,-0.5707407407407408,5.692658911149186
2012Q1,0.1577966101694915,3.3822121244048353
2012Q2,0.42,3.0003956023317664
2012Q3,-0.95265625,2.4975093893320177
2012Q4,0.04261538461538465,2.9547135420180104
2013Q1,-0.39137931034482765,3.767150464944205
2013Q2,0.27934426229508197,4.072676379995698
2013Q3,-0.1990769230769231,2.2973168609522245
2013Q4,0.9839393939393939,3.944757330466654
2014Q1,0.27839285714285705,3.4845762892472902
2014Q2,-0.17688524590163937,3.112878379133802
2014Q3,0.8646875,2.8913549132071257
2014Q4,-0.28363636363636363,2.750541002093189
2015Q1,0.5992857142857143,2.3674726510029114
2015Q2,0.6739344262295082,2.2213406452624693
2015Q3,-0.02876923076923076,2.4860696312731188
2015Q4,0.16166666666666665,1.8257740894319385
2016Q1,0.3784745762711864,2.4554610590016543
2016Q2,0.8037096774193548,2.4441178863139754
2016Q3,-0.3376923076923077,2.3498721835125744
2016Q4,0.05015384615384618,1.881491672440125
2017Q1,0.36932203389830515,2.3005410640998316
2017Q2,-0.3690322580645161,1.9445465649360658
2017Q3,-0.0042187500000000246,1.8326196053888422
2017Q4,-0.502,1.68233115794721
2018Q1,-0.25982456140350874,2.346034261127907
2018Q2,0.10354838709677419,3.2021171770647454
2018Q3,0.08650793650793652,1.8907159923282166
2018Q4,-0.09476923076923077,2.2895681277346744
2019Q1,0.22568965517241382,2.595502258171202
2019Q2,-0.06065573770491803,1.895177976560917
2019Q3,0.0236923076923077,1.860681636886373
2019Q4,-0.2703030303030303,1.7194730585465998
2020Q1,-0.40542372881355937,2.1150465243386236
2020Q2,0.397741935483871,2.223760232501519
2020Q3,0.07938461538461539,1.6675139400870433
2020Q4,0.017538461538461527,2.3027110589810973
2021Q1,0.6289655172413793,3.2250209789363464
2021Q2,0.1801612903225806,2.4126949029809883
2021Q3,0.665625,3.717233941333687
2021Q4,-0.28530303030303034,3.18961643206248
2022Q1,0.23896551724137932,3.192393200980617
2022Q2,-0.7361290322580645,3.770554751043767
2022Q3,-0.49234375,1.855909260052231
