quarter,amihud,ln_amihud
2010Q1,10.841960888297049,2.3834238734065383
2010Q2,5.2535933137048385,1.6589122831864989
2010Q3,12.907829196607118,2.557834041735194
2010Q4,35.539425855850716,3.570642667724059
2011Q1,30.0568814196577,3.403091633755223
2011Q2,69.40106802211153,4.239902256761945
2011Q3,46.81707930969062,3.8462480788630353
2011Q4,101.57573782252362,4.620804705667479
2012Q1,44.061448364254936,3.785585213377142
2012Q2,12.104358475144,2.4935655923019637
2012Q4,10.88183570362254,2.3870949499551375
2013Q1,13.349829888206578,2.591503642308637
2013Q2,9.51909059083765,2.253299318067843
2013Q3,142.2580645162903,4.957642763956879
2013Q4,48.04456981364029,3.8721291178675257
2014Q1,49.507489853632435,3.9021239683028073
2014Q2,18.829501306805586,2.9354248583462668
2014Q3,62.49165732242202,4.135033064991481
2014Q4,100.65437788028973,4.611692647218261
2015Q2,6.020733652349814,1.7952091210563854
2015Q3,30.172413793275865,3.406928056376855
2015Q4,142.36346516025264,4.9583834011736085
2016Q1,188.97959183693874,5.2416390295306785
2016Q2,56.87994230726516,4.040942771205884
2016Q3,14.235294117661763,2.655724382101503
2016Q4,29.11990947689175,3.3714221147004304
2017Q1,24.322820893780655,3.1914150410697832
2017Q2,38.00703703708407,3.6377713277681485
2017Q3,16.835016835033667,2.8234610526145376
2017Q4,0.067333333337125,-2.69809987019273
2018Q1,125.53839066296628,4.832611613490396
2018Q2,178.1284763890925,5.182505067402813
2018Q3,141.63816832069327,4.95327569522485
2018Q4,90.41757027075461,4.504438609914553
2020Q1,7.416666666675925,2.003729719945388
2021Q1,6.557469278421447,1.8806047477950307
2021Q2,15.696664991229287,2.753448268848929
2021Q3,18.17722657849244,2.900169523673614
2021Q4,24.961665636390162,3.217341273501901
2022Q1,14.186623524335404,2.652299515312869
2022Q2,33.1122066379812,3.4999019950038255
2022Q3,51.27010180528871,3.9371077714634
