,quarter,roa
0,2009Q4,13.79
1,2010Q1,5.22
2,2010Q2,6.52
3,2010Q3,6.91
4,2010Q4,5.11
5,2011Q1,5.94
6,2011Q2,4.91
7,2011Q3,4.31
8,2011Q4,3.75
9,2012Q1,2.73
10,2012Q2,4.44
11,2012Q3,3.7
12,2012Q4,2.59
13,2013Q1,2.45
14,2013Q2,3.28
15,2013Q3,2.99
16,2013Q4,3.45
17,2014Q1,2.74
18,2014Q2,3.57
19,2014Q3,3.72
20,2014Q4,3.25
21,2015Q1,3.52
22,2015Q2,4.69
23,2015Q3,3.9
24,2015Q4,3.48
25,2016Q1,3.97
26,2016Q2,6.5
27,2016Q3,6.94
28,2016Q4,5.44
29,2017Q1,5.94
30,2017Q2,7.3
31,2017Q3,3.88
32,2017Q4,6.33
33,2018Q1,4.69
34,2018Q2,3.92
35,2018Q3,2.29
36,2018Q4,3.99
37,2019Q1,1.91
38,2019Q2,3.1
39,2019Q3,1.05
40,2019Q4,3.83
41,2020Q1,1.28
42,2020Q2,2.65
43,2020Q3,1.22
44,2020Q4,2.79
45,2021Q1,1.31
46,2021Q2,1.95
47,2021Q3,1.22
48,2021Q4,1.93
49,2022Q1,1.03
50,2022Q2,1.38
