quarter,change_perc_mean,change_perc_stdv
2017Q3,3.763333333333333,9.514863310080907
2017Q4,0.027031249999999982,2.6238362074360473
2018Q1,0.34762711864406776,3.9544372017646428
2018Q2,0.8803225806451612,5.256929218875659
2018Q3,0.5984375,4.909598056398999
2018Q4,-0.7026153846153846,4.189552585346628
2019Q1,-2.6498275862068965,7.3348044357094375
2019Q2,-0.16311475409836065,6.21904669569852
2019Q3,2.0153846153846153,6.819442351863136
2019Q4,0.6656666666666666,4.472764422806202
2020Q1,-0.32915254237288133,2.2399786699535493
2020Q2,0.3437096774193549,2.6243152011499644
2020Q3,0.35938461538461536,2.6982719452243162
2020Q4,0.09363636363636364,1.8603950253507051
2021Q1,0.23827586206896553,3.45427583389053
2021Q2,-0.1382258064516129,2.2951963551799457
2021Q3,-1.13234375,5.604665500457971
2021Q4,0.13893939393939397,2.5687651201354007
2022Q1,-0.5420689655172414,2.72119153379202
2022Q2,-0.9669354838709678,3.65355007625513
2022Q3,-0.13078125,1.7890170260908242
