,timestamp,delta_volume,date,note
0,1235322000,75600000,2009-02-23,"Niêm yết cổ phiếu bổ sung - 75,600,000 CP"
1,1236272400,75600000,2009-03-06,"Giao dịch bổ sung - 75,600,000 CP"
2,1271350800,82745684,2010-04-16,"Niêm yết cổ phiếu bổ sung - 82,745,684 CP"
3,1271869200,82745684,2010-04-22,"Giao dịch bổ sung - 82,745,684 CP"
4,1278003600,2254316,2010-07-02,"Niêm yết cổ phiếu bổ sung - 2,254,316 CP"
5,1278608400,2254316,2010-07-09,"Giao dịch bổ sung - 2,254,316 CP"
6,1410886800,23257542,2014-09-17,"Niêm yết cổ phiếu bổ sung - 23,257,542 CP"
7,1411405200,23257542,2014-09-23,"Giao dịch bổ sung - 23,257,542 CP"
8,1475773200,25582620,2016-10-07,"Niêm yết cổ phiếu bổ sung - 25,582,620 CP"
9,1476291600,25582620,2016-10-13,"Giao dịch bổ sung - 25,582,620 CP"
10,1609693200,42211084,2021-01-04,"Niêm yết cổ phiếu bổ sung - 42,211,084 CP"
11,1610643600,42211084,2021-01-15,"Giao dịch bổ sung - 42,211,084 CP"
