quarter,trend
2005Q1,97.05882352941177
2005Q2,75.49019607843137
2005Q3,85.29411764705883
2005Q4,0.0
2006Q1,100.0
2006Q2,0.0
2006Q3,0.0
2006Q4,22.54901960784314
2007Q1,98.03921568627452
2007Q2,0.0
2007Q3,0.0
2007Q4,7.8431372549019605
2008Q1,0.0
2008Q2,0.0
2008Q3,6.862745098039215
2008Q4,28.431372549019606
2009Q1,0.0
2009Q2,9.803921568627452
2009Q3,9.803921568627452
2009Q4,6.862745098039215
2010Q1,6.862745098039215
2010Q2,7.8431372549019605
2010Q3,3.9215686274509802
2010Q4,2.9411764705882355
2011Q1,6.862745098039215
2011Q2,9.803921568627452
2011Q3,5.882352941176471
2011Q4,5.882352941176471
2012Q1,6.862745098039215
2012Q2,2.9411764705882355
2012Q3,5.882352941176471
2012Q4,4.901960784313726
2013Q1,5.882352941176471
2013Q2,6.862745098039215
2013Q3,8.823529411764707
2013Q4,6.862745098039215
2014Q1,4.901960784313726
2014Q2,6.862745098039215
2014Q3,6.862745098039215
2014Q4,5.882352941176471
2015Q1,5.882352941176471
2015Q2,3.9215686274509802
2015Q3,4.901960784313726
2015Q4,6.862745098039215
2016Q1,4.901960784313726
2016Q2,3.9215686274509802
2016Q3,3.9215686274509802
2016Q4,5.882352941176471
2017Q1,4.901960784313726
2017Q2,6.862745098039215
2017Q3,3.9215686274509802
2017Q4,4.901960784313726
2018Q1,4.901960784313726
2018Q2,4.901960784313726
2018Q3,2.9411764705882355
2018Q4,4.901960784313726
2019Q1,3.9215686274509802
2019Q2,3.9215686274509802
2019Q3,5.882352941176471
2019Q4,8.823529411764707
2020Q1,7.8431372549019605
2020Q2,10.784313725490197
2020Q3,6.862745098039215
2020Q4,8.823529411764707
2021Q1,9.803921568627452
2021Q2,11.764705882352942
2021Q3,8.823529411764707
2021Q4,9.803921568627452
2022Q1,11.764705882352942
2022Q2,13.72549019607843
2022Q3,9.803921568627452
