,timestamp,delta_volume,date,note
0,1533056400,10000000.0,2018-08-01,"Niêm yết cổ phiếu lần đầu - 10,000,000 CP"
1,1533661200,10000000.0,2018-08-08,"Giao dịch lần đầu - 10,000,000 CP"
2,1537376400,,2018-09-20,Đưa cổ phiếu vào diện cảnh báo
3,1553533200,,2019-03-26,Đưa cổ phiếu ra khỏi diện cảnh báo
4,1567962000,8000000.0,2019-09-09,"Niêm yết cổ phiếu bổ sung - 8,000,000 CP"
5,1569430800,8000000.0,2019-09-26,"Giao dịch bổ sung - 8,000,000 CP"
6,1608742800,18000000.0,2020-12-24,"Niêm yết cổ phiếu lần đầu - 18,000,000 CP"
7,1613581200,,2021-02-18,Giao dịch trở lại sàn HOSE
8,1613581200,,2021-02-18,Hủy niêm yết cổ phiếu
9,1614704400,18000000.0,2021-03-03,"Giao dịch lần đầu - 18,000,000 CP"
10,1620838800,2069824.0,2021-05-13,"Niêm yết cổ phiếu bổ sung - 2,069,824 CP"
11,1622134800,1169824.0,2021-05-28,"Giao dịch bổ sung - 1,169,824 CP"
12,1640192400,10000000.0,2021-12-23,"Niêm yết cổ phiếu bổ sung - 10,000,000 CP"
13,1649610000,900000.0,2022-04-11,"Giao dịch bổ sung - 900,000 CP"
14,1669136400,9000000.0,2022-11-23,"Giao dịch bổ sung - 9,000,000 CP"
15,1732467600,1000000.0,2024-11-25,"Giao dịch bổ sung - 1,000,000 CP"
