,Quý,Thu nhập lãi thuần(MilVND),Chi phí hoạt động(MilVND),Tổng TNTT(MilVND),Tổng LNST(MilVND),LNST của CĐ Ngân hàng mẹ(MilVND),Tổng tài sản(MilVND)," - Tiền, vàng gửi và cho vay các TCTD(MilVND)", - Cho vay khách hàng(MilVND),Nợ phải trả(MilVND), - Tiền gửi và vay các TCTD(MilVND), - Tiền gửi của khách hàng(MilVND),Vốn và các quỹ(MilVND), - Vốn của TCTD(MilVND), - Lợi nhuận chưa phân phối(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROEA(%),ROAA(%)
0,2009Q2,463684.0,197776.0,429396.0,334023.0,334023.0,54826508.0,12295826.0,29956849.0,41245254.0,429280.0,36393958.0,13581254.0,12526947.0,773494.0,463.0,18811.0,0.0,4.92,1.22
1,2009Q3,472954.0,227844.0,352188.0,266300.0,266300.0,62866978.0,13397018.0,34631253.0,48992338.0,2151739.0,40744272.0,13874640.0,12526947.0,1039794.0,682.0,15766.0,0.0,1.94,0.45
2,2009Q4,587380.0,349314.0,369592.0,162488.0,162488.0,66029254.0,6976109.0,38003086.0,52078954.0,2527654.0,38766464.0,13950300.0,12526947.0,1202245.0,871.0,15852.0,27.57,1.17,0.25
3,2010Q1,513882.0,190763.0,415303.0,415303.0,415303.0,64281319.0,8992717.0,36099892.0,50517630.0,1421376.0,40444631.0,13763689.0,12526947.0,0.0,1345.0,15640.0,17.4,3.06,0.64
4,2010Q2,641202.0,222934.0,502294.0,407583.0,407583.0,73706301.0,12887011.0,42527650.0,59576683.0,4630531.0,47221366.0,14129618.0,12526947.0,1232752.0,1428.0,16056.0,13.23,2.92,0.59
5,2010Q3,798023.0,263170.0,689273.0,519419.0,519419.0,95737194.0,20190071.0,52656469.0,81535050.0,18418065.0,50753935.0,14202143.0,12526947.0,1290022.0,1717.0,16139.0,10.43,3.67,0.61
6,2010Q4,929411.0,338610.0,782631.0,586799.0,586799.0,131127964.0,32110539.0,61720266.0,116345696.0,33369593.0,58150663.0,14782268.0,12526947.0,1876822.0,2128.0,13998.0,7.28,4.05,0.52
7,2011Q1,991857.0,312155.0,850155.0,640038.0,640038.0,137844370.0,33870762.0,65947073.0,123708524.0,37978819.0,58639464.0,14135846.0,12526947.0,982905.0,2273.0,13386.0,6.42,4.63,0.48
8,2011Q2,1260505.0,382570.0,832419.0,621925.0,621925.0,142707827.0,39915308.0,68227133.0,128163000.0,45390286.0,58192337.0,14544827.0,12526947.0,1325729.0,2387.0,13773.0,6.12,4.34,0.44
9,2011Q3,1443854.0,473128.0,1009128.0,756221.0,756221.0,146857352.0,36498155.0,68902224.0,131560998.0,43135855.0,55446967.0,15296354.0,12526947.0,2081506.0,2509.0,14485.0,6.38,5.07,0.52
