,quarter,roa
0,2008Q3,4.21
1,2008Q4,3.56
2,2009Q1,3.66
3,2009Q2,0.0
4,2009Q3,6.61
5,2009Q4,2.99
6,2010Q1,3.32
7,2010Q2,2.49
8,2010Q3,4.54
9,2010Q4,3.09
10,2011Q1,4.45
11,2011Q2,2.02
12,2011Q3,2.65
13,2011Q4,2.71
14,2012Q1,3.0
15,2012Q2,1.38
16,2012Q3,3.68
17,2012Q4,3.92
18,2013Q1,3.08
19,2013Q2,3.68
20,2013Q3,2.61
21,2013Q4,1.65
22,2014Q1,4.33
23,2014Q2,2.25
24,2014Q3,1.99
25,2014Q4,3.5
26,2015Q1,4.15
27,2015Q2,3.42
28,2015Q3,3.11
29,2015Q4,2.35
30,2016Q1,3.47
31,2016Q2,2.68
32,2016Q3,2.75
33,2016Q4,2.36
34,2017Q1,3.0
35,2017Q2,2.43
36,2017Q3,2.63
37,2017Q4,1.54
38,2018Q1,2.57
39,2018Q2,2.11
40,2018Q3,2.0
41,2018Q4,2.2
42,2019Q1,2.22
43,2019Q2,2.23
44,2019Q3,2.45
45,2019Q4,1.86
46,2020Q1,2.72
47,2020Q2,1.87
48,2020Q3,1.95
49,2020Q4,2.49
50,2021Q1,3.07
51,2021Q2,1.46
52,2021Q3,2.85
53,2021Q4,2.98
54,2022Q1,3.3
55,2022Q2,2.45
