,quarter,roa
0,2013Q1,0.0
1,2013Q3,0.0
2,2014Q1,2.79
3,2014Q3,3.41
4,2015Q1,0.0
5,2015Q2,0.0
6,2015Q3,5.0
7,2015Q4,0.6
8,2016Q1,1.77
9,2016Q2,1.46
10,2016Q3,1.49
11,2016Q4,2.39
12,2017Q1,0.72
13,2017Q2,0.75
14,2017Q3,0.04
15,2017Q4,0.46
16,2018Q1,0.61
17,2018Q2,1.04
18,2018Q3,0.39
19,2018Q4,0.14
20,2019Q1,0.56
21,2019Q2,1.78
22,2019Q3,0.5
23,2019Q4,-0.25
24,2020Q1,0.41
25,2020Q2,1.37
26,2020Q3,0.66
27,2020Q4,0.39
28,2021Q1,-0.02
29,2021Q2,0.32
30,2021Q3,1.39
31,2021Q4,1.77
32,2022Q1,1.62
33,2022Q2,1.84
