,quarter,price,price_diff,price_diff_perc
1,2014Q4,8.0,-6.4,-44.44444444444444
2,2015Q1,11.4,3.4000000000000004,42.50000000000001
3,2015Q2,9.9,-1.5,-13.157894736842104
4,2015Q3,9.1,-0.8000000000000007,-8.080808080808088
5,2015Q4,7.5,-1.5999999999999996,-17.58241758241758
6,2016Q1,9.8,2.3000000000000007,30.666666666666675
7,2016Q2,8.3,-1.5,-15.306122448979592
8,2016Q3,9.8,1.5,18.072289156626503
9,2016Q4,7.9,-1.9000000000000004,-19.387755102040817
10,2017Q1,9.3,1.4000000000000004,17.721518987341774
11,2017Q2,10.1,0.7999999999999989,8.602150537634396
12,2017Q3,20.4,10.299999999999999,101.98019801980199
13,2017Q4,11.9,-8.499999999999998,-41.66666666666666
14,2018Q1,10.0,-1.9000000000000004,-15.96638655462185
15,2018Q2,6.6,-3.4000000000000004,-34.00000000000001
16,2018Q3,8.1,1.5,22.72727272727273
17,2018Q4,6.6,-1.5,-18.51851851851852
18,2019Q1,7.2,0.6000000000000005,9.0909090909091
19,2019Q2,7.9,0.7000000000000002,9.722222222222223
20,2019Q3,6.7,-1.2000000000000002,-15.18987341772152
21,2019Q4,6.2,-0.5,-7.462686567164179
22,2020Q1,5.1,-1.1000000000000005,-17.741935483870975
23,2020Q2,5.0,-0.09999999999999964,-1.9607843137254835
24,2020Q3,5.1,0.09999999999999964,1.999999999999993
25,2020Q4,6.5,1.4000000000000004,27.450980392156872
26,2021Q1,7.0,0.5,7.6923076923076925
27,2021Q2,7.2,0.20000000000000018,2.85714285714286
28,2021Q3,8.3,1.1000000000000005,15.277777777777786
29,2021Q4,9.0,0.6999999999999993,8.433734939759027
30,2022Q1,16.5,7.5,83.33333333333333
31,2022Q2,9.8,-6.699999999999999,-40.6060606060606
