,quarter,amihud,ln_amihud
0,2009Q4,6.385278415215061,1.853995093109428
1,2010Q1,0.012279622085365295,-4.3998141315440815
2,2010Q2,0.008687498187792105,-4.745870276690718
3,2010Q3,0.019025191764855433,-3.9619912956607224
4,2010Q4,0.06108128342681483,-2.7955497866256285
5,2011Q1,0.03568295836912627,-3.3330820607745872
6,2011Q2,0.01985426952770065,-3.919336205420672
7,2011Q3,0.0318151305497842,-3.4478132989022425
8,2011Q4,0.29779802238169556,-1.2113397995141992
9,2012Q1,0.13016160211755268,-2.0389785073152646
10,2012Q2,0.043294552566013306,-3.139728458677562
11,2012Q3,0.016862319414828537,-4.082673766781899
12,2012Q4,0.011676225200511007,-4.450200538705303
13,2013Q1,0.006412658543999975,-5.049481344580365
14,2013Q2,0.006491077844463881,-5.037326684326106
15,2013Q3,0.0085225002280238,-4.76504552719671
16,2013Q4,0.005897103065677418,-5.133294054470679
17,2014Q1,0.0037782049765056826,-5.578506256079274
18,2014Q2,0.018720925811995952,-3.978113353386573
19,2014Q3,0.003935632646151046,-5.537683635918378
20,2014Q4,0.010454105239925087,-4.560760531789229
21,2015Q1,0.99384445464094,-0.006174568835150933
22,2015Q2,0.06644124460132568,-2.711437261701395
23,2015Q3,0.0858998400079653,-2.4545733125319007
24,2015Q4,0.020556284142624105,-3.884588587091875
25,2016Q1,0.011510469414056515,-4.464498273929954
26,2016Q2,0.008267962724986986,-4.79536714551978
27,2016Q3,0.003306130349420325,-5.711976852223754
28,2016Q4,0.015151357441615974,-4.189665150933944
29,2017Q1,0.014959887698277715,-4.2023828132636
30,2017Q2,0.010785731381607804,-4.529531186733998
31,2017Q3,0.010405205703948444,-4.5654490496108195
32,2017Q4,0.034085890737113794,-3.3788717416904848
33,2018Q1,0.011136722340881117,-4.4975073121128935
34,2018Q2,0.43897957978585533,-0.8233023822830148
35,2018Q3,1.174301009281013,0.16067308486312082
36,2018Q4,1.5840721098838426,0.4599988162726194
37,2019Q1,0.7026917966948705,-0.35283689483124914
38,2019Q2,0.0722279273730028,-2.6279285021531433
39,2019Q3,0.09574845126186939,-2.3460308258629587
40,2019Q4,0.633439939464501,-0.4565900911905927
41,2020Q1,0.8593726376251203,-0.15155264707629387
42,2020Q2,0.24680151607182793,-1.3991708440531272
43,2020Q3,0.5661696661444023,-0.568861482193046
44,2020Q4,0.05701632342704621,-2.86441767623225
45,2021Q1,0.033718642151214145,-3.3897044150099815
46,2021Q2,0.04982639413124863,-2.9992104327178053
47,2021Q3,0.08067232018618664,-2.517359758996669
48,2021Q4,0.02441370913694948,-3.7126104545865473
49,2022Q1,0.10218381634810018,-2.28098196650997
50,2022Q2,0.8710988450466264,-0.13799982401441308
51,2022Q3,3.4704461682737504,1.2442831644464707
