quarter,trend
2005Q1,0.0
2005Q2,0.0
2005Q3,0.0
2005Q4,53.333333333333336
2006Q1,0.0
2006Q2,74.07407407407408
2006Q3,71.11111111111111
2006Q4,100.0
2007Q1,14.074074074074074
2007Q2,28.88888888888889
2007Q3,50.370370370370374
2007Q4,82.22222222222223
2008Q1,85.92592592592592
2008Q2,63.7037037037037
2008Q3,42.22222222222222
2008Q4,72.5925925925926
2009Q1,57.03703703703704
2009Q2,75.55555555555556
2009Q3,75.55555555555556
2009Q4,77.77777777777777
2010Q1,83.70370370370371
2010Q2,62.22222222222222
2010Q3,86.66666666666667
2010Q4,84.44444444444444
2011Q1,63.7037037037037
2011Q2,49.629629629629626
2011Q3,68.14814814814815
2011Q4,80.0
2012Q1,59.25925925925926
2012Q2,62.96296296296296
2012Q3,63.7037037037037
2012Q4,69.62962962962963
2013Q1,60.0
2013Q2,60.74074074074074
2013Q3,57.77777777777778
2013Q4,56.2962962962963
2014Q1,54.81481481481482
2014Q2,52.592592592592595
2014Q3,58.51851851851852
2014Q4,61.48148148148148
2015Q1,62.22222222222222
2015Q2,57.03703703703704
2015Q3,59.25925925925926
2015Q4,68.14814814814815
2016Q1,54.074074074074076
2016Q2,55.55555555555556
2016Q3,48.888888888888886
2016Q4,45.925925925925924
2017Q1,47.407407407407405
2017Q2,48.148148148148145
2017Q3,44.44444444444444
2017Q4,40.74074074074074
2018Q1,38.51851851851852
2018Q2,39.25925925925926
2018Q3,37.77777777777778
2018Q4,45.18518518518518
2019Q1,42.22222222222222
2019Q2,43.7037037037037
2019Q3,42.96296296296296
2019Q4,41.48148148148148
2020Q1,45.18518518518518
2020Q2,44.44444444444444
2020Q3,50.370370370370374
2020Q4,41.48148148148148
2021Q1,41.48148148148148
2021Q2,42.96296296296296
2021Q3,37.03703703703704
2021Q4,34.81481481481482
2022Q1,34.074074074074076
2022Q2,37.03703703703704
2022Q3,33.333333333333336
