quarter,change_perc_mean,change_perc_stdv
2017Q4,0.7328125000000001,5.831660104688278
2018Q1,-0.21983050847457627,1.3848347237690979
2018Q2,0.3758064516129032,4.309003364434959
2018Q3,-0.1715625,3.562696597193029
2018Q4,0.12430769230769234,4.475551282115549
2019Q1,-0.2677586206896553,3.573538245190145
2019Q2,0.6226229508196722,3.8597490858169112
2019Q3,0.4135384615384615,3.919660951045874
2019Q4,-0.5454545454545454,2.609791728688876
2020Q1,-0.11661016949152543,4.124294134034663
2020Q2,0.39870967741935487,3.1221332996143123
2020Q3,0.8681538461538462,3.10833601601589
2020Q4,0.7395454545454545,3.4001463460894104
2021Q1,0.5518965517241379,3.9734202231594464
2021Q2,-0.16129032258064516,2.6634727016366866
2021Q3,0.22953124999999996,2.8894446270825456
2021Q4,0.7443939393939394,3.887152459374888
2022Q1,-0.16896551724137926,3.7976427081995157
2022Q2,-0.9572131147540983,4.476872096731355
2022Q3,0.11015625000000001,2.246611905640022
