,quarter,roa
0,2013Q3,5.83
1,2013Q4,1.5
2,2014Q1,2.87
3,2014Q2,9.88
4,2014Q3,2.17
5,2014Q4,1.47
6,2015Q1,3.83
7,2015Q2,5.56
8,2015Q3,4.45
9,2015Q4,-2.35
10,2016Q1,-2.76
11,2016Q2,0.47
12,2016Q3,-7.02
13,2016Q4,-0.14
14,2017Q1,-1.23
15,2017Q2,1.34
16,2017Q3,4.12
17,2017Q4,8.79
18,2018Q1,3.98
19,2018Q2,1.91
20,2018Q3,0.6
21,2018Q4,-1.49
22,2019Q1,-2.63
23,2019Q2,-4.08
24,2019Q3,-1.58
25,2019Q4,13.37
26,2020Q1,5.9
27,2020Q2,4.64
28,2020Q3,-0.81
29,2020Q4,-3.26
30,2021Q1,-1.77
31,2021Q2,-0.97
32,2021Q3,-1.1
33,2021Q4,4.48
34,2022Q1,0.94
35,2022Q2,-0.15
