quarter,s,ln_s
2009Q2,1.4958395247014822,0.2365372116791477
2009Q3,0.9768633069587904,0.10342970576411527
2009Q4,0.9156125190053356,0.10587384175378896
2010Q1,0.7678471383689012,0.10119045363484101
2010Q2,1.2367715622340487,0.1580064163687178
2010Q3,0.7400050432058715,0.0816228976785695
2010Q4,0.15476084105860174,0.018225839876409494
2011Q1,0.5669659564956044,0.09845237536494861
2011Q2,0.3988476736752682,0.07238630229688467
2011Q3,0.32011525136307334,0.05210818117495039
2011Q4,0.2193951947955238,0.03577004284312202
2012Q1,0.31858548035172646,0.05452304613569524
2012Q2,0.05582071381039874,0.007994414439914093
2012Q3,0.03294605391778479,0.004209867350694644
2012Q4,0.17977992501824402,0.028867352291394196
2013Q1,0.10340236503509309,0.013048517585443585
2013Q2,0.3259408922433932,0.044844247048696856
2013Q3,0.23589467615712686,0.03723832350426518
2013Q4,0.369125000645614,0.0400140639612547
2014Q1,0.12960478206653422,0.018748963004484736
2014Q2,0.04288454604779539,0.005716288561470375
2014Q3,0.0,0.0
2014Q4,0.020768338881617512,0.0019102675200225617
2015Q1,0.0,0.0
2015Q2,0.0,0.0
2015Q3,0.16562496857966058,0.03160351379261026
2015Q4,0.013591434950718384,0.0016803636374099014
2016Q1,0.05393620287193741,0.00857627637466249
2016Q2,0.05205587352155954,0.007825608820974808
2016Q3,0.17535245576673844,0.022674264116829053
2016Q4,0.01660225397027316,0.0019048774084065823
2017Q1,0.14824731334209415,0.018834854579462854
2017Q2,0.0,0.0
2017Q3,0.03087783148148695,0.0028793027588290892
2017Q4,0.0,0.0
2018Q1,0.016056802014892995,0.0014355721775232654
2018Q2,0.03187389056153492,0.0034050319360034794
2018Q3,0.0,0.0
2018Q4,0.0036962394081741486,0.0005052922578704278
2019Q1,0.30541946164169115,0.05282844083378227
2019Q2,0.04289562406527764,0.004902309725412217
2019Q3,0.16665680929910656,0.023903512037905555
2019Q4,0.5169306056606906,0.0896492363003977
2020Q1,0.6340317112329191,0.08898107763420617
2020Q2,0.6913730270147209,0.11529453254048645
2020Q3,0.6069698726857564,0.0601714131766058
2020Q4,0.7068751820986211,0.06818516566125292
2021Q1,0.550380197506401,0.05137174604409468
2021Q2,0.3826926572265033,0.03663223843024274
2021Q3,0.668863867107239,0.06702364897108186
2021Q4,0.9879991221962664,0.08459818548475487
2022Q1,0.509138354138889,0.03805359857363049
2022Q2,0.37965345077540674,0.028806032791081338
2022Q3,0.3883122820022264,0.028788756885647828
