,timestamp,delta_volume,date,note
0,1396458000,,2014-04-03,Đưa cổ phiếu vào diện cảnh báo
1,1441213200,,2015-09-03,Đưa cổ phiếu vào diện kiểm soát
2,1459789200,,2016-04-05,Đưa cổ phiếu vào diện cảnh báo
3,1459789200,,2016-04-05,Đưa cổ phiếu ra khỏi diện kiểm soát
4,1491498000,,2017-04-07,Đưa cổ phiếu vào diện cảnh báo
5,1586710800,,2020-04-13,Đưa cổ phiếu ra khỏi diện cảnh báo
6,1618246800,32600000.0,2021-04-13,"Niêm yết cổ phiếu bổ sung - 32,600,000 CP"
7,1618246800,32600000.0,2021-04-13,"Niêm yết cổ phiếu bổ sung - 32,600,000 CP"
8,1619370000,28891681.0,2021-04-26,"Giao dịch bổ sung - 28,891,681 CP"
9,1621530000,1630000.0,2021-05-21,"Niêm yết cổ phiếu bổ sung - 1,630,000 CP"
10,1625504400,6682976.0,2021-07-06,"Niêm yết cổ phiếu bổ sung - 6,682,976 CP"
11,1626714000,6682976.0,2021-07-20,"Giao dịch bổ sung - 6,682,976 CP"
12,1633626000,,2021-10-08,Đưa cổ phiếu vào diện cảnh báo
13,1646067600,3708319.0,2022-03-01,"Giao dịch bổ sung - 3,708,319 CP"
14,1649005200,73512976.0,2022-04-04,"Niêm yết cổ phiếu bổ sung - 73,512,976 CP"
15,1649178000,1630000.0,2022-04-06,"Giao dịch bổ sung - 1,630,000 CP"
16,1650387600,72515076.0,2022-04-20,"Giao dịch bổ sung - 72,515,076 CP"
17,1656608400,,2022-07-01,Đưa cổ phiếu ra khỏi diện cảnh báo
18,1659891600,19112951.0,2022-08-08,"Niêm yết cổ phiếu bổ sung - 19,112,951 CP"
19,1660842000,19112951.0,2022-08-19,"Giao dịch bổ sung - 19,112,951 CP"
20,1663088400,7351290.0,2022-09-14,"Niêm yết cổ phiếu bổ sung - 7,351,290 CP"
21,1678381200,997900.0,2023-03-10,"Giao dịch bổ sung - 997,900 CP"
22,1692291600,7351290.0,2023-08-18,"Giao dịch bổ sung - 7,351,290 CP"
