,quarter,amihud,ln_amihud
0,2009Q1,2.236310434430648,0.8048273803747418
1,2009Q2,0.6984046575209288,-0.3589566056345814
2,2009Q3,0.16956322302396104,-1.7745294245162808
3,2009Q4,0.1749342013949554,-1.7433453677901751
4,2010Q1,2.1518969894719358,0.7663497738081053
5,2010Q2,2.058645676521376,0.7220483280121217
6,2010Q3,0.7577460224443414,-0.27740701222416253
7,2010Q4,3.412216546494114,1.2273620937627032
8,2011Q1,16.95215928940713,2.8303952174182605
9,2011Q2,7.012464740265657,1.947689242710064
10,2011Q3,10.045660222241573,2.307140722562118
11,2011Q4,1.8147739877324394,0.5959609352976516
12,2012Q1,4.634031428730831,1.5334272081906448
13,2012Q2,2.73750369947031,1.0070464465463855
14,2012Q3,0.5103181040021422,-0.6727210143670215
15,2012Q4,1.557662098224418,0.4431860421704782
16,2013Q1,2.858151260498327,1.050175003404007
17,2013Q2,2.0275680196749963,0.7068370549896954
18,2013Q3,2.566479937340544,0.9425352858594939
19,2013Q4,2.985996221456798,1.0939334336965054
20,2014Q1,3.028632488656686,1.1081111937683221
21,2014Q2,5.156522976182183,1.64026251053487
22,2014Q3,1.5580952093237657,0.4434640555453248
23,2014Q4,3.2626393062163386,1.1825364709606248
24,2015Q1,0.3238755110033394,-1.127396062321596
25,2015Q2,5.422408043488919,1.6905400052512476
26,2015Q3,2.10911121948525,0.7462666357558775
27,2015Q4,5.140442559231524,1.6371391767784003
28,2016Q1,4.90529000622611,1.590314215882402
29,2016Q2,4.066734216568037,1.4028402735646306
30,2016Q3,4.665155089111627,1.540121079001064
31,2016Q4,4.434788625710196,1.4894799541319903
32,2017Q1,13.589348997530616,2.6092863239642012
33,2017Q2,9.960606938265974,2.2986380073167934
34,2017Q3,0.342220182485416,-1.072300940638387
35,2017Q4,1.1097902798639816,0.10417106041391201
36,2018Q1,3.5310251094179335,1.2615882280560358
37,2018Q2,1.3835796816899222,0.32467411286891684
38,2018Q3,0.8398875220893063,-0.17448729838512306
39,2018Q4,4.770570550250513,1.5624659099591272
40,2019Q1,4.120938500053778,1.4160809286961304
41,2019Q2,0.5714399383124558,-0.5595958960864692
42,2019Q3,3.556652840480869,1.2688198892380533
43,2019Q4,3.452960363908638,1.2392319396013536
44,2020Q1,3.2723328505510105,1.1855031405076841
45,2020Q2,3.0487462628636424,1.1147304447542585
46,2020Q3,0.3967564553955723,-0.9244326490197118
47,2020Q4,1.1763998292186326,0.16245878252481974
48,2021Q1,1.1864288991656187,0.17094787024823674
49,2021Q2,5.100421767669832,1.6293232358539655
50,2021Q3,1.0549966060880291,0.053537549944683904
51,2021Q4,1.4161605495776517,0.3479493713143146
52,2022Q1,4.333485393581271,1.4663721590042056
53,2022Q2,3.855507864612355,1.349502740131193
54,2022Q3,3.143528410497148,1.1453458666551235
