,date,quarter,price,shares_est,lev,market_cap
0,2012-06-29,2012Q2,6.5,120004802.4012006,0.6434340054301992,780031215608
1,2012-09-28,2012Q3,6.3,119999894.02289106,0.6519810436422583,755999332344
2,2012-12-28,2012Q4,6.4,119999894.02289106,0.6519810436422583,767999321747
3,2013-03-29,2013Q1,6.9,119998655.6359876,0.6443964742531386,827990723888
4,2013-06-28,2013Q2,7.9,120003943.13583066,0.636473854944848,948031150773
5,2013-09-30,2013Q3,7.8,120002127.44402796,0.6266069214415069,936016594063
6,2013-12-31,2013Q4,9.4,119995981.2458138,0.6321061578688284,1127962223711
7,2014-03-31,2014Q1,12.1,120003564.39358407,0.6220156379036703,1452043129162
8,2014-06-30,2014Q2,10.8,119997463.16713826,0.6211453864713806,1295972602205
9,2014-09-30,2014Q3,12.2,120001086.09794629,0.6185164850642167,1464013250395
10,2014-12-31,2014Q4,15.2,120001604.4587063,0.5721840885062938,1824024387772
11,2015-03-31,2015Q1,15.1,120001120.78627469,0.5781810884731989,1812016923873
12,2015-06-30,2015Q2,18.0,125996864.38463548,0.5522338162559787,2267943558923
13,2015-09-30,2015Q3,18.7,125995777.31816617,0.5332117556825142,2356121035850
14,2015-12-31,2015Q4,20.7,126003493.78881988,0.50144719074122,2608272321429
15,2016-03-31,2016Q1,20.4,126001406.5934066,0.5472812221494493,2570428694505
16,2016-06-30,2016Q2,20.5,125994169.61130744,0.5213999476112178,2582880477032
17,2016-09-30,2016Q3,20.5,125999739.17579553,0.4985825018757256,2582994653104
18,2016-12-30,2016Q4,20.7,126002414.18332703,0.4584009859193456,2608249973595
19,2017-03-31,2017Q1,22.9,126003551.77937184,0.4249017893169104,2885481335748
20,2017-06-30,2017Q2,27.15,126002797.9431337,0.4401821103910981,3420975964156
21,2017-09-29,2017Q3,27.0,125997020.13227706,0.4196543017697152,3401919543571
22,2017-12-29,2017Q4,26.45,125998994.09871244,0.3949836596720549,3332673393911
23,2018-03-30,2018Q1,24.2,126002873.34593572,0.4042603696929007,3049269534972
24,2018-06-29,2018Q2,23.0,126003291.23612706,0.4177995156969238,2898075698431
25,2018-09-28,2018Q3,22.8,138596270.6355316,0.3956143189450559,3159994970490
26,2018-12-28,2018Q4,21.1,138597402.5974026,0.3819229916029483,2924405194805
27,2019-03-29,2019Q1,22.2,138603740.45801526,0.4575510478299308,3077003038168
28,2019-06-28,2019Q2,22.55,138597279.53538132,0.5229508760208562,3125368653523
29,2019-09-30,2019Q3,20.5,138596529.28416485,0.5653845723243793,2841228850325
30,2019-12-31,2019Q4,20.1,138600282.8187603,0.5115164079052792,2785865684657
31,2020-03-31,2020Q1,17.6,138597036.215231,0.4969096142398763,2439307837388
32,2020-06-30,2020Q2,19.05,138598774.48865107,0.5323240763997797,2640306654009
33,2020-09-30,2020Q3,19.3,146916607.83621603,0.5048951105678854,2835490531239
34,2020-12-31,2020Q4,19.8,146909323.61154205,0.4638884838182306,2908804607509
35,2021-03-31,2021Q1,18.6,146907897.91482168,0.4543712090767279,2732486901216
36,2021-06-30,2021Q2,19.05,146910772.40612844,0.4394481578289043,2798650214337
37,2021-09-30,2021Q3,19.2,146916901.6566796,0.4673442594851106,2820804511808
38,2021-12-31,2021Q4,22.75,146912043.5120435,0.4222644094431225,3342248989899
39,2022-03-31,2022Q1,23.0,146916192.33073696,0.3992315924778668,3379072423607
40,2022-06-30,2022Q2,23.5,146914018.6915888,0.3981540474693038,3452479439252
