,Quý,DT từ KD chứng khoán (MilVND),Lợi nhuận gộp(MilVND),LNT từ KD chứng khoán(MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Các khoản cho vay(MilVND),Tổng tài sản(MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của cổ đông thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2009Q1,567.0,-90.0,-1344.0,15.0,15.0,81173.0,,179324.0,8680.0,8680.0,170643.0,,1.0,10157.0,0.0,2.59,0.0,0.0
1,2009Q2,14921.0,13762.0,12452.0,9330.0,9330.0,153846.0,,247254.0,67558.0,67558.0,179696.0,,556.0,10696.0,0.0,62.53,0.0,0.0
2,2009Q4,60765.0,53825.0,49777.0,42559.0,42559.0,289732.0,,439558.0,39582.0,39582.0,399975.0,0.0,4806.0,10928.0,4.62,70.04,0.19,0.17
3,2010Q1,45960.0,44482.0,40002.0,30085.0,30085.0,424539.0,,554615.0,129272.0,129272.0,425343.0,0.0,7590.0,11621.0,2.38,65.46,0.18,0.14
4,2010Q2,35696.0,32959.0,26561.0,19921.0,19921.0,327686.0,,474934.0,66270.0,66270.0,408664.0,0.0,4656.0,11166.0,3.84,55.81,0.19,0.16
5,2010Q3,13632.0,6458.0,896.0,990.0,990.0,331809.0,,440611.0,32016.0,32016.0,408595.0,0.0,4004.0,11164.0,3.0,7.26,22.78,19.6
6,2010Q4,10379.0,-34240.0,-41268.0,-41268.0,-41268.0,466038.0,,526230.0,158902.0,158902.0,367328.0,0.0,375.0,10036.0,27.18,-397.62,2.42,1.95
7,2011Q1,13509.0,5653.0,-264.0,7.0,7.0,469965.0,,525749.0,15630.0,15630.0,510119.0,0.0,-667.0,10142.0,-10.05,0.05,-4.8,-4.14
8,2011Q2,6532.0,5935.0,-93.0,44.0,44.0,469928.0,,525143.0,14980.0,14980.0,510164.0,0.0,-1156.0,10142.0,-3.89,0.68,-8.96,-7.97
9,2011Q3,11573.0,3984.0,679.0,511.0,511.0,369978.0,,533443.0,22615.0,22615.0,510828.0,0.0,-1019.0,10156.0,-5.49,4.42,-8.58,-7.71
