,timestamp,delta_volume,date,note
0,1352739600,869983,2012-11-13,"Niêm yết cổ phiếu bổ sung - 869,983 CP"
1,1352739600,869983,2012-11-13,"Giao dịch bổ sung - 869,983 CP"
2,1469552400,956954,2016-07-27,"Niêm yết cổ phiếu bổ sung - 956,954 CP"
3,1470243600,956954,2016-08-04,"Giao dịch bổ sung - 956,954 CP"
4,1602435600,1052637,2020-10-12,"Niêm yết cổ phiếu bổ sung - 1,052,637 CP"
5,1603126800,1052637,2020-10-20,"Giao dịch bổ sung - 1,052,637 CP"
6,1658941200,3473795,2022-07-28,"Niêm yết cổ phiếu bổ sung - 3,473,795 CP"
7,1659891600,3473795,2022-08-08,"Giao dịch bổ sung - 3,473,795 CP"
