quarter,s,ln_s
2009Q2,1.1293390085370956,0.12052763539543879
2009Q3,1.1314759795572376,0.13223576702358183
2009Q4,1.1811751195927416,0.12336084145823628
2010Q1,1.416755777922569,0.157135181975692
2010Q2,0.8495976570845024,0.06850156829526331
2010Q3,0.6623279712186442,0.04828160070650731
2010Q4,0.683075123621409,0.06972882150122116
2011Q1,0.3947802747304161,0.045559709779884945
2011Q2,0.26551418714612196,0.04850590540252024
2011Q3,0.19857980723337812,0.04299278243458191
2011Q4,0.1580995079454002,0.04950892630978419
2012Q1,0.09804574600917564,0.04174861642471953
2012Q2,0.27226958023501935,0.06137451117124795
2012Q3,0.23563713970126818,0.06333093503106166
2012Q4,0.26009400297862384,0.08254719729427942
2013Q1,0.2800330435832781,0.07560957834638854
2013Q2,0.20075310123392814,0.05941281912133411
2013Q3,0.1680288116400376,0.052082012681973815
2013Q4,0.2702083254049981,0.07668554759346315
2014Q1,0.45177378913865457,0.08394727668320576
2014Q2,0.5156833259427989,0.09609278523469507
2014Q3,0.3975028381185342,0.06694819618597556
2014Q4,0.2644269433356167,0.04969639025167582
2015Q1,0.1525334571792154,0.03160659915835505
2015Q2,0.2836944860751425,0.07128552212905992
2015Q3,0.21813852317421725,0.060208786218550046
2015Q4,0.14665589980841218,0.04732734426140255
2016Q1,0.18618477906312159,0.06645978466945694
2016Q2,0.21740490377032443,0.07794577647441375
2016Q3,0.13490856385334882,0.051077326663637804
2016Q4,0.1771912885796498,0.07060093842911785
2017Q1,0.1230648486527543,0.05246702170575582
2017Q2,0.26559626382100526,0.08391616773898425
2017Q3,0.2614874835349132,0.06382139166517392
2017Q4,0.25984836058472816,0.08260632334525136
2018Q1,0.16726820901223638,0.05537616164395306
2018Q2,0.2468875693179154,0.07547975910112235
2018Q3,0.20473072243041449,0.06693743792040312
2018Q4,0.09501322595604704,0.03233502146788824
2019Q1,0.15189973523809494,0.04876556446771367
2019Q2,0.11755110091838634,0.04064909031660635
2019Q3,0.1557111407612064,0.06365817307335267
2019Q4,0.12588589141694495,0.06325656062236942
2020Q1,0.15505797602073232,0.07185667704578391
2020Q2,0.20909792739214103,0.09371136239681482
2020Q3,0.1305876215462949,0.05446252263538625
2020Q4,0.27867635589732814,0.08398713513741793
2021Q1,0.7103068708685969,0.11310105233829476
2021Q2,1.0298303540817078,0.11319118542962751
2021Q3,1.023331942328495,0.09775945211609169
2021Q4,1.5384999097556957,0.11588548422267529
2022Q1,1.4184619143351034,0.0939736365539339
2022Q2,1.1429154766832028,0.11008227390629195
2022Q3,1.0379341112584095,0.09080013035966379
