quarter,s,ln_s
2009Q4,0.5845241791007187,0.08666061553455494
2010Q1,0.4851944443818384,0.03833931848734549
2010Q2,0.628102424567092,0.053975932972305005
2010Q3,0.18730052985577736,0.012194151892312287
2010Q4,0.19704041213585607,0.02439863879886045
2011Q1,0.0,0.0
2011Q2,0.0,0.0
2011Q3,0.0,0.0
2011Q4,0.0,0.0
2012Q1,0.0,0.0
2012Q2,0.0,0.0
2012Q3,0.07244480456998877,0.017157933716980083
2012Q4,0.0,0.0
2013Q1,0.14246385889365387,0.03434909892728156
2013Q2,0.02895716316383594,0.006994596281247129
2013Q3,0.0,0.0
2013Q4,0.24937070193797478,0.04199471922581284
2014Q1,0.25661464019911,0.035157197519894635
2014Q2,0.10645526395465124,0.013292979104004522
2014Q3,0.05378769109013981,0.010970166803002114
2014Q4,0.10495047991888254,0.013622586124370924
2015Q1,0.0,0.0
2015Q2,0.24965995938346286,0.038590750620899186
2015Q3,0.5002750542653032,0.07301759466039838
2015Q4,0.12010574554510484,0.013229272040427337
2016Q1,0.09129125423231842,0.01725275800872133
2016Q2,0.0927480196106211,0.015892444007930696
2016Q3,0.0613076198330647,0.006998003773942135
2016Q4,0.38961325466863417,0.04503338404523182
2017Q1,0.004072128161548018,0.0005761989491253958
2017Q2,0.09638164091746003,0.015876936503647084
2017Q3,0.06246596223767074,0.01435907067881834
2017Q4,0.1217482389878831,0.021109409456874523
2018Q1,0.0,0.0
2018Q2,0.06444365749762138,0.014642520695603576
2018Q3,0.0,0.0
2018Q4,0.0,0.0
2019Q1,0.015466115633576078,0.0010950730699408383
2019Q2,0.0,0.0
2019Q3,0.02998166048255795,0.004135944379543858
2019Q4,0.0,0.0
2020Q1,0.12641305705392042,0.02002178139434503
2020Q2,0.0,0.0
2020Q3,0.0,0.0
2020Q4,0.0,0.0
2021Q1,0.0,0.0
2021Q2,0.0,0.0
2021Q3,0.0,0.0
2021Q4,0.30171306620474403,0.0412277904958326
2022Q1,0.045755762177144915,0.003342630515513878
2022Q2,0.0,0.0
2022Q3,0.0,0.0
