,quarter,roa
0,2016Q4,7.44
1,2017Q1,0.0
2,2017Q2,0.0
3,2017Q3,0.0
4,2017Q4,0.01
5,2018Q1,0.43
6,2018Q2,3.02
7,2018Q3,0.46
8,2018Q4,1.32
9,2019Q1,0.49
10,2019Q2,0.53
11,2019Q3,0.36
12,2019Q4,0.47
13,2020Q1,0.32
14,2020Q2,0.13
15,2020Q3,0.09
16,2020Q4,0.76
17,2021Q1,0.37
18,2021Q2,0.2
19,2021Q3,0.1
20,2021Q4,0.21
21,2022Q1,0.1
22,2022Q2,0.33
