,timestamp,delta_volume,date,note
0,1476810000,734026,2016-10-19,"Niêm yết cổ phiếu bổ sung - 734,026 CP"
1,1478192400,734026,2016-11-04,"Giao dịch bổ sung - 734,026 CP"
2,1502038800,2114038,2017-08-07,"Niêm yết cổ phiếu bổ sung - 2,114,038 CP"
3,1504544400,2114038,2017-09-05,"Giao dịch bổ sung - 2,114,038 CP"
