,quarter,price,price_diff,price_diff_perc
1,2007Q1,136.0,66.0,94.28571428571429
2,2007Q2,49.0,-87.0,-63.970588235294116
3,2007Q3,64.0,15.0,30.612244897959183
4,2007Q4,94.0,30.0,46.875
5,2008Q1,27.8,-66.2,-70.42553191489361
6,2008Q2,17.3,-10.5,-37.76978417266187
7,2008Q3,21.6,4.300000000000001,24.855491329479772
8,2008Q4,11.7,-9.900000000000002,-45.83333333333334
9,2009Q1,11.5,-0.1999999999999993,-1.7094017094017033
10,2009Q2,16.4,4.899999999999999,42.6086956521739
11,2009Q3,30.1,13.700000000000003,83.53658536585368
12,2009Q4,14.7,-15.400000000000002,-51.162790697674424
13,2010Q1,13.0,-1.6999999999999993,-11.564625850340132
14,2010Q2,17.8,4.800000000000001,36.92307692307693
15,2010Q3,13.1,-4.700000000000001,-26.404494382022477
16,2010Q4,9.8,-3.299999999999999,-25.190839694656482
17,2011Q1,7.9,-1.9000000000000004,-19.387755102040817
18,2011Q2,6.7,-1.2000000000000002,-15.18987341772152
19,2011Q3,6.6,-0.10000000000000053,-1.4925373134328437
20,2011Q4,5.9,-0.6999999999999993,-10.606060606060597
21,2012Q1,5.9,0.0,0.0
22,2012Q2,6.9,1.0,16.94915254237288
23,2012Q3,7.1,0.1999999999999993,2.8985507246376705
24,2012Q4,8.0,0.9000000000000004,12.676056338028173
25,2013Q1,8.8,0.8000000000000007,10.000000000000009
26,2013Q2,7.9,-0.9000000000000004,-10.22727272727273
27,2013Q3,7.7,-0.20000000000000018,-2.531645569620255
28,2013Q4,8.4,0.7000000000000002,9.090909090909092
29,2014Q1,9.6,1.1999999999999993,14.285714285714276
30,2014Q2,7.4,-2.1999999999999993,-22.91666666666666
31,2014Q3,7.9,0.5,6.756756756756756
32,2014Q4,8.8,0.9000000000000004,11.392405063291143
33,2015Q1,8.8,0.0,0.0
34,2015Q2,7.6,-1.200000000000001,-13.636363636363647
35,2015Q3,8.9,1.3000000000000007,17.105263157894743
36,2015Q4,8.1,-0.8000000000000007,-8.988764044943828
37,2016Q1,9.7,1.5999999999999996,19.753086419753085
38,2016Q2,8.8,-0.8999999999999986,-9.278350515463904
39,2016Q3,8.3,-0.5,-5.681818181818182
40,2016Q4,8.6,0.29999999999999893,3.614457831325288
41,2017Q1,9.3,0.7000000000000011,8.139534883720943
42,2017Q2,9.2,-0.10000000000000142,-1.0752688172043163
43,2017Q3,9.9,0.7000000000000011,7.608695652173926
44,2017Q4,10.1,0.1999999999999993,2.020202020202013
45,2018Q1,10.0,-0.09999999999999964,-0.9900990099009866
46,2018Q2,9.7,-0.3000000000000007,-3.000000000000007
47,2018Q3,9.3,-0.3999999999999986,-4.123711340206171
48,2018Q4,10.3,1.0,10.75268817204301
49,2019Q1,12.0,1.6999999999999993,16.504854368932033
50,2019Q2,8.6,-3.4000000000000004,-28.33333333333334
51,2019Q3,9.0,0.40000000000000036,4.651162790697679
52,2019Q4,8.0,-1.0,-11.11111111111111
53,2020Q1,7.0,-1.0,-12.5
54,2020Q2,7.1,0.09999999999999964,1.4285714285714235
55,2020Q3,8.0,0.9000000000000004,12.676056338028173
56,2020Q4,9.9,1.9000000000000004,23.750000000000004
57,2021Q1,9.2,-0.7000000000000011,-7.070707070707082
58,2021Q2,9.2,0.0,0.0
59,2021Q3,9.5,0.3000000000000007,3.260869565217399
60,2021Q4,11.2,1.6999999999999993,17.894736842105257
61,2022Q1,11.6,0.40000000000000036,3.5714285714285747
62,2022Q2,11.1,-0.5,-4.310344827586207
