,quarter,roa
0,2007Q2,5.25
1,2007Q3,2.34
2,2007Q4,1.93
3,2008Q1,1.55
4,2008Q2,0.08
5,2008Q3,0.93
6,2008Q4,1.4
7,2009Q1,1.26
8,2009Q2,1.41
9,2009Q3,0.06
10,2009Q4,1.66
11,2010Q1,1.28
12,2010Q2,1.57
13,2010Q3,1.39
14,2010Q4,1.4
15,2011Q1,1.53
16,2011Q2,1.62
17,2011Q3,0.85
18,2011Q4,1.16
19,2012Q1,1.45
20,2012Q2,1.18
21,2012Q3,0.91
22,2012Q4,1.35
23,2013Q1,1.11
24,2013Q2,0.91
25,2013Q3,1.32
26,2013Q4,1.87
27,2014Q1,1.06
28,2014Q2,1.75
29,2014Q3,1.56
30,2014Q4,1.43
31,2015Q1,1.4
32,2015Q2,1.71
33,2015Q3,1.87
34,2015Q4,1.1
35,2016Q1,0.95
36,2016Q2,0.97
37,2016Q3,1.03
38,2016Q4,0.89
39,2017Q1,0.84
40,2017Q2,1.01
41,2017Q3,0.83
42,2017Q4,0.63
43,2018Q1,0.73
44,2018Q2,0.97
45,2018Q3,0.58
46,2018Q4,0.62
47,2019Q1,0.74
48,2019Q2,0.94
49,2019Q3,0.72
50,2019Q4,0.89
51,2020Q1,0.85
52,2020Q2,0.34
53,2020Q3,1.34
54,2020Q4,1.37
55,2021Q1,0.89
56,2021Q2,1.11
57,2021Q3,-0.32
58,2021Q4,1.46
59,2022Q1,0.96
60,2022Q2,1.02
