,quarter,amihud,ln_amihud
0,2008Q1,0.6044544010953946,-0.5034290442035676
1,2008Q2,6.320574587703435,1.8438101198020374
2,2008Q3,3.11559510413715,1.1364201786595298
3,2008Q4,6.318135296178332,1.8434241165504712
4,2009Q1,14.64197880942273,2.6838926639773124
5,2009Q2,2.726386976608589,1.0029772808693662
6,2009Q3,3.2255241637568286,1.1710954684384054
7,2009Q4,0.1511034910136772,-1.88979030597512
8,2010Q1,0.3064469171688607,-1.1827107289187133
9,2010Q2,0.0450825440934592,-3.0992601563217894
10,2010Q3,0.04624441864768881,-3.0738145001936745
11,2010Q4,0.7196393117477569,-0.329005148398261
12,2011Q1,1.5148452100861924,0.415313262181194
13,2011Q2,1.3441229877153076,0.2957417466310373
14,2011Q3,7.340108008375666,1.9933535575557157
15,2011Q4,7.100663586387367,1.960188242551348
16,2012Q1,8.818207764638286,2.1768186480823446
17,2012Q2,15.933484146185746,2.768422816026289
18,2012Q3,24.644305437450896,3.2045458570639505
19,2012Q4,15.879256873884449,2.7650136583691225
20,2013Q1,13.468107726457216,2.6003244999642856
21,2013Q2,10.011903387184368,2.303774723821048
22,2013Q3,33.951915551360386,3.524945275133486
23,2013Q4,6.686000412682586,1.9000158497212951
24,2014Q1,6.864791402653888,1.926405653128841
25,2014Q2,11.456634690712809,2.438569011155069
26,2014Q3,10.838537821717546,2.3831080996179614
27,2014Q4,4.1366228797560485,1.4198797254213238
28,2015Q1,5.7360963179759805,1.7467788949931546
29,2015Q2,12.978785740727584,2.5633161584198567
30,2015Q3,11.351738198045672,2.429370877404144
31,2015Q4,1.001056951365216,0.001056393185399881
32,2016Q1,34.46453671570125,3.5399308740798885
33,2016Q2,19.099281371631864,2.949650709822872
34,2016Q3,5.827559610827933,1.7625983211037595
35,2016Q4,12.768674755041753,2.5469948866671075
36,2017Q1,2.0275136643304097,0.7068102464818401
37,2017Q2,11.2951619547321,2.4243744884388696
38,2017Q3,7.871105720480466,2.0631985507154487
39,2017Q4,8.22555761576031,2.10724608958266
40,2018Q1,3.962137805089834,1.376783729370085
41,2018Q2,12.221175907919585,2.5031701772578105
42,2018Q3,7.382493727000868,1.99911148492354
43,2018Q4,23.844163032816166,3.171539450811916
44,2019Q1,8.431353023203584,2.1319572601080026
45,2019Q2,26.429932946621417,3.2744971915952505
46,2019Q3,20.3541188382254,3.0132832913213012
47,2019Q4,39.508069852441395,3.676504951102468
48,2020Q1,7.136966482837581,1.9652878237242362
49,2020Q2,5.412756832293264,1.6887585438967179
50,2020Q3,4.154068226962106,1.4240881497201263
51,2020Q4,43.61714560263141,3.775450320820126
52,2021Q1,5.965518507087956,1.7859959766820959
53,2021Q2,7.956858469298949,2.074034257294761
54,2021Q3,18.040694717751148,2.89263002374616
55,2021Q4,1.838219650362226,0.6087975218870333
56,2022Q1,3.5643657741982686,1.2709861345888671
57,2022Q2,15.1424877517235,2.717504551005113
58,2022Q3,43.398862259135925,3.7704332255354513
