,quarter,roa
0,2006Q4,1.16
1,2007Q1,2.06
2,2007Q2,1.55
3,2007Q3,1.23
4,2007Q4,1.33
5,2008Q1,2.41
6,2008Q2,2.41
7,2008Q3,2.87
8,2008Q4,2.75
9,2009Q1,1.67
10,2009Q2,1.11
11,2009Q3,1.0
12,2009Q4,1.92
13,2010Q1,1.2
14,2010Q2,1.35
15,2010Q3,1.43
16,2010Q4,1.31
17,2011Q1,0.97
18,2011Q2,1.53
19,2011Q3,1.05
20,2011Q4,1.14
21,2012Q1,0.71
22,2012Q2,0.58
23,2012Q3,0.62
24,2012Q4,-0.04
25,2013Q1,0.5
26,2013Q2,0.65
27,2013Q3,0.44
28,2013Q4,0.57
29,2014Q1,0.55
30,2014Q2,0.61
31,2014Q3,0.65
32,2014Q4,1.0
33,2015Q1,0.9
34,2015Q2,1.23
35,2015Q3,0.42
36,2015Q4,0.72
37,2016Q1,0.92
38,2016Q2,1.42
39,2016Q3,0.83
40,2016Q4,0.87
41,2017Q1,2.53
42,2017Q2,1.28
43,2017Q3,2.57
44,2017Q4,-0.15
45,2018Q1,0.5
46,2018Q2,0.66
47,2018Q3,0.46
48,2018Q4,0.42
49,2019Q1,0.24
50,2019Q2,0.42
51,2019Q3,0.47
52,2019Q4,-0.34
53,2020Q1,0.12
54,2020Q2,0.28
55,2020Q3,0.12
56,2020Q4,-0.34
57,2021Q1,0.22
58,2021Q2,0.15
59,2021Q3,0.2
60,2021Q4,1.02
61,2022Q1,0.37
62,2022Q2,1.12
