quarter,trend
2005Q1,46.3235294117647
2005Q2,100.0
2005Q3,36.029411764705884
2005Q4,13.970588235294118
2006Q1,40.44117647058823
2006Q2,0.0
2006Q3,11.764705882352942
2006Q4,25.0
2007Q1,6.617647058823529
2007Q2,3.676470588235294
2007Q3,13.235294117647058
2007Q4,17.647058823529413
2008Q1,9.558823529411764
2008Q2,5.147058823529412
2008Q3,7.352941176470588
2008Q4,5.882352941176471
2009Q1,9.558823529411764
2009Q2,10.294117647058824
2009Q3,1.4705882352941178
2009Q4,2.2058823529411766
2010Q1,2.9411764705882355
2010Q2,3.676470588235294
2010Q3,5.147058823529412
2010Q4,3.676470588235294
2011Q1,2.2058823529411766
2011Q2,3.676470588235294
2011Q3,5.147058823529412
2011Q4,3.676470588235294
2012Q1,3.676470588235294
2012Q2,3.676470588235294
2012Q3,2.2058823529411766
2012Q4,4.411764705882353
2013Q1,2.2058823529411766
2013Q2,3.676470588235294
2013Q3,3.676470588235294
2013Q4,3.676470588235294
2014Q1,3.676470588235294
2014Q2,2.2058823529411766
2014Q3,2.9411764705882355
2014Q4,2.9411764705882355
2015Q1,2.9411764705882355
2015Q2,3.676470588235294
2015Q3,2.2058823529411766
2015Q4,3.676470588235294
2016Q1,2.9411764705882355
2016Q2,2.2058823529411766
2016Q3,3.676470588235294
2016Q4,4.411764705882353
2017Q1,2.9411764705882355
2017Q2,4.411764705882353
2017Q3,4.411764705882353
2017Q4,4.411764705882353
2018Q1,3.676470588235294
2018Q2,3.676470588235294
2018Q3,3.676470588235294
2018Q4,3.676470588235294
2019Q1,3.676470588235294
2019Q2,2.9411764705882355
2019Q3,2.9411764705882355
2019Q4,4.411764705882353
2020Q1,2.9411764705882355
2020Q2,4.411764705882353
2020Q3,4.411764705882353
2020Q4,4.411764705882353
2021Q1,2.9411764705882355
2021Q2,4.411764705882353
2021Q3,4.411764705882353
2021Q4,4.411764705882353
2022Q1,5.147058823529412
2022Q2,4.411764705882353
2022Q3,4.411764705882353
